region,sector,product
EU27+3,EPS flat roof,PUR
EU27+3,EPS flat roof,Other Plastics
EU27+3,EPS flat roof,"PA (PA6, PA66)"
EU27+3,EPS flooring,"PE-LD, -LLD"
EU27+3,EPS flooring,"PE-HD, -MD"
EU27+3,EPS flooring,PS
EU27+3,EPS flooring,PS-E
EU27+3,EPS flooring,PVC
EU27+3,EPS flooring,PP
EU27+3,EPS flooring,"ABS, SAN"
EU27+3,EPS flooring,PMMA
EU27+3,EPS flooring,"PA (PA6, PA66)"
EU27+3,EPS flooring,PET
EU27+3,EPS flooring,Other Thermoplastics
EU27+3,EPS flooring,PUR
EU27+3,EPS flooring,Other Plastics
EU27+3,EPS flooring,PC
EU27+3,EPS others in B&C,"PE-LD, -LLD"
EU27+3,EPS others in B&C,"PE-HD, -MD"
EU27+3,EPS others in B&C,PP
EU27+3,EPS others in B&C,PS
EU27+3,EPS others in B&C,PS-E
EU27+3,EPS others in B&C,PVC
EU27+3,EPS others in B&C,PET
EU27+3,EPS others in B&C,"ABS, SAN"
EU27+3,EPS others in B&C,"PA (PA6, PA66)"
EU27+3,EPS others in B&C,PC
EU27+3,EPS others in B&C,Other Thermoplastics
EU27+3,EPS others in B&C,PUR
EU27+3,EPS others in B&C,Other Plastics
EU27+3,EPS others in B&C,PMMA
EU27+3,EPS perimeter,"PE-LD, -LLD"
EU27+3,EPS perimeter,PP
EU27+3,EPS perimeter,PS
EU27+3,EPS perimeter,PS-E
EU27+3,EPS perimeter,"PE-HD, -MD"
EU27+3,EPS perimeter,PET
EU27+3,EPS perimeter,"ABS, SAN"
EU27+3,EPS perimeter,PMMA
EU27+3,EPS perimeter,PVC
EU27+3,EPS perimeter,"PA (PA6, PA66)"
EU27+3,EPS perimeter,PC
EU27+3,EPS perimeter,Other Thermoplastics
EU27+3,EPS perimeter,PUR
EU27+3,EPS perimeter,Other Plastics
EU27+3,Household packaging,"PE-LD, -LLD"
EU27+3,Household packaging,"PE-HD, -MD"
EU27+3,Household packaging,PP
EU27+3,Household packaging,PS
EU27+3,Household packaging,PS-E
EU27+3,Household packaging,PVC
EU27+3,Household packaging,PET
EU27+3,Household packaging,"ABS, SAN"
EU27+3,Household packaging,PMMA
EU27+3,Household packaging,"PA (PA6, PA66)"
EU27+3,Household packaging,PC
EU27+3,Household packaging,PUR
EU27+3,Household packaging,Other Plastics
EU27+3,Household packaging,Other Thermoplastics
EU27+3,"Household, Leisure, Sports","PE-HD, -MD"
EU27+3,"Household, Leisure, Sports",PP
EU27+3,"Household, Leisure, Sports",PS
EU27+3,"Household, Leisure, Sports",PS-E
EU27+3,"Household, Leisure, Sports",PVC
EU27+3,"Household, Leisure, Sports",PET
EU27+3,"Household, Leisure, Sports","ABS, SAN"
EU27+3,"Household, Leisure, Sports",PMMA
EU27+3,"Household, Leisure, Sports","PA (PA6, PA66)"
EU27+3,"Household, Leisure, Sports",PC
EU27+3,"Household, Leisure, Sports",Other Thermoplastics
EU27+3,"Household, Leisure, Sports",PUR
EU27+3,"Household, Leisure, Sports","PE-LD, -LLD"
EU27+3,"Household, Leisure, Sports",Other Plastics
EU27+3,Others,"PE-HD, -MD"
EU27+3,Others,PP
EU27+3,Others,PS
EU27+3,Others,"PE-LD, -LLD"
EU27+3,Others,PVC
EU27+3,Others,PET
EU27+3,Others,"ABS, SAN"
EU27+3,Others,PS-E
EU27+3,Others,"PA (PA6, PA66)"
EU27+3,Others,PC
EU27+3,Others,Other Thermoplastics
EU27+3,Others,PMMA
EU27+3,Others,PUR
EU27+3,Others,Other Plastics
EU27+3,Packaging,"PE-LD, -LLD"
EU27+3,Packaging,PP
EU27+3,Packaging,PS
EU27+3,Packaging,PS-E
EU27+3,Packaging,PVC
EU27+3,Packaging,PET
EU27+3,Packaging,"ABS, SAN"
EU27+3,Packaging,PMMA
EU27+3,Packaging,"PA (PA6, PA66)"
EU27+3,Packaging,PC
EU27+3,Packaging,Other Thermoplastics
EU27+3,Packaging,PUR
EU27+3,Packaging,Other Plastics
EU27+3,Packaging,"PE-HD, -MD"
EU27+3,PET beverage bottles,"PE-LD, -LLD"
EU27+3,PET beverage bottles,PP
EU27+3,PET beverage bottles,PS
EU27+3,PET beverage bottles,PS-E
EU27+3,PET beverage bottles,PVC
EU27+3,PET beverage bottles,PET
EU27+3,PET beverage bottles,"ABS, SAN"
EU27+3,PET beverage bottles,PMMA
EU27+3,PET beverage bottles,"PA (PA6, PA66)"
EU27+3,PET beverage bottles,PC
EU27+3,PET beverage bottles,Other Thermoplastics
EU27+3,PET beverage bottles,PUR
EU27+3,PET beverage bottles,Other Plastics
EU27+3,PET beverage bottles,"PE-HD, -MD"
EU27+3,PET other packaging,"PE-LD, -LLD"
EU27+3,PET other packaging,PP
EU27+3,PET other packaging,PS
EU27+3,PET other packaging,PS-E
EU27+3,PET other packaging,PVC
EU27+3,PET other packaging,PET
