region,time,sector,product
East,2040,Agriculture,"PE-LD, -LLD"
East,2040,Agriculture,"PE-HD, -MD"
East,2040,Agriculture,PP
East,2040,Agriculture,PS
East,2040,Agriculture,PS-E
East,2040,Agriculture,PVC
East,2040,Agriculture,PET
East,2040,Agriculture,"ABS, SAN"
East,2040,Agriculture,PMMA
East,2040,Agriculture,"PA (PA6, PA66)"
East,2040,Agriculture,PC
East,2040,Agriculture,Other Thermoplastics
East,2040,Agriculture,PUR
East,2040,Agriculture,Other Plastics
East,2045,Agriculture,"PE-LD, -LLD"
East,2045,Agriculture,"PE-HD, -MD"
East,2045,Agriculture,PP
East,2045,Agriculture,PS
East,2045,Agriculture,PS-E
East,2045,Agriculture,PVC
East,2045,Agriculture,PET
East,2045,Agriculture,"ABS, SAN"
East,2045,Agriculture,PMMA
East,2045,Agriculture,"PA (PA6, PA66)"
East,2045,Agriculture,PC
East,2045,Agriculture,Other Thermoplastics
East,2045,Agriculture,PUR
East,2045,Agriculture,Other Plastics
East,2050,Agriculture,"PE-LD, -LLD"
East,2050,Agriculture,"PE-HD, -MD"
East,2050,Agriculture,PP
East,2050,Agriculture,PS
East,2050,Agriculture,PS-E
East,2050,Agriculture,PVC
East,2050,Agriculture,PET
East,2050,Agriculture,"ABS, SAN"
East,2050,Agriculture,PMMA
East,2050,Agriculture,"PA (PA6, PA66)"
East,2050,Agriculture,PC
East,2050,Agriculture,Other Thermoplastics
East,2050,Agriculture,PUR
East,2050,Agriculture,Other Plastics
East,2020,Automotive,"PE-LD, -LLD"
East,2020,Automotive,"PE-HD, -MD"
East,2020,Automotive,PP
East,2020,Automotive,PS
East,2020,Automotive,PS-E
East,2020,Automotive,PVC
East,2020,Automotive,PET
East,2020,Automotive,"ABS, SAN"
East,2020,Automotive,PMMA
East,2020,Automotive,"PA (PA6, PA66)"
East,2020,Automotive,PC
East,2020,Automotive,Other Thermoplastics
East,2020,Automotive,PUR
East,2020,Automotive,Other Plastics
East,2025,Automotive,"PE-LD, -LLD"
East,2025,Automotive,"PE-HD, -MD"
East,2025,Automotive,PP
East,2025,Automotive,PS
East,2025,Automotive,PS-E
East,2025,Automotive,PVC
East,2025,Automotive,PET
East,2025,Automotive,"ABS, SAN"
East,2025,Automotive,PMMA
East,2025,Automotive,"PA (PA6, PA66)"
East,2025,Automotive,PC
East,2025,Automotive,Other Thermoplastics
East,2025,Automotive,PUR
East,2025,Automotive,Other Plastics
East,2030,Automotive,"PE-LD, -LLD"
East,2030,Automotive,"PE-HD, -MD"
East,2030,Automotive,PP
East,2030,Automotive,PS
East,2030,Automotive,PS-E
East,2030,Automotive,PVC
East,2030,Automotive,PET
East,2030,Automotive,"ABS, SAN"
East,2030,Automotive,PMMA
East,2030,Automotive,"PA (PA6, PA66)"
East,2030,Automotive,PC
East,2030,Automotive,Other Thermoplastics
East,2030,Automotive,PUR
East,2030,Automotive,Other Plastics
East,2035,Automotive,"PE-LD, -LLD"
East,2035,Automotive,"PE-HD, -MD"
East,2035,Automotive,PP
East,2035,Automotive,PS
East,2035,Automotive,PS-E
East,2035,Automotive,PVC
East,2035,Automotive,PET
East,2035,Automotive,"ABS, SAN"
East,2035,Automotive,PMMA
East,2035,Automotive,"PA (PA6, PA66)"
East,2035,Automotive,PC
East,2035,Automotive,Other Thermoplastics
East,2035,Automotive,PUR
East,2035,Automotive,Other Plastics
East,2040,Automotive,"PE-LD, -LLD"
East,2040,Automotive,"PE-HD, -MD"
East,2040,Automotive,PP
East,2040,Automotive,PS
East,2040,Automotive,PS-E
