region_from,region_to,time,sector,product
EU27+3,EU27+3,1971,"Household, Leisure, Sports",Other Thermoplastics
EU27+3,EU27+3,1971,"Household, Leisure, Sports",PUR
EU27+3,EU27+3,1971,"Household, Leisure, Sports",Other Plastics
EU27+3,EU27+3,1971,Others,"PE-LD, -LLD"
EU27+3,EU27+3,1971,Others,"PE-HD, -MD"
EU27+3,EU27+3,1971,Others,PP
EU27+3,EU27+3,1971,Others,PS
EU27+3,EU27+3,1971,Others,PS-E
EU27+3,EU27+3,1971,Others,PVC
EU27+3,EU27+3,1971,Others,PET
EU27+3,EU27+3,1971,Others,"ABS, SAN"
EU27+3,EU27+3,1971,Others,PMMA
EU27+3,EU27+3,1971,Others,"PA (PA6, PA66)"
EU27+3,EU27+3,1971,Others,PC
EU27+3,EU27+3,1971,Others,Other Thermoplastics
EU27+3,EU27+3,1971,Others,PUR
EU27+3,EU27+3,1971,Others,Other Plastics
EU27+3,EU27+3,1971,PUR slabstock mattresses,PUR
EU27+3,EU27+3,1971,PUR slabstock furniture,PUR
EU27+3,EU27+3,1971,PUR moulded furniture,PUR
EU27+3,EU27+3,1971,PUR others in Others,PUR
EU27+3,EU27+3,1972,Packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Packaging,"PE-HD, -MD"
EU27+3,EU27+3,1972,Packaging,PP
EU27+3,EU27+3,1972,Packaging,PS
EU27+3,EU27+3,1972,Packaging,PS-E
EU27+3,EU27+3,1972,Packaging,PVC
EU27+3,EU27+3,1972,Packaging,PET
EU27+3,EU27+3,1972,Packaging,"ABS, SAN"
EU27+3,EU27+3,1972,Packaging,PMMA
EU27+3,EU27+3,1972,Packaging,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Packaging,PC
EU27+3,EU27+3,1972,Packaging,Other Thermoplastics
EU27+3,EU27+3,1972,Packaging,PUR
EU27+3,EU27+3,1972,Packaging,Other Plastics
EU27+3,EU27+3,1972,Household packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Household packaging,"PE-HD, -MD"
EU27+3,EU27+3,1972,Household packaging,PP
EU27+3,EU27+3,1972,Household packaging,PS
EU27+3,EU27+3,1972,Household packaging,PS-E
EU27+3,EU27+3,1972,Household packaging,PVC
EU27+3,EU27+3,1972,Household packaging,PET
EU27+3,EU27+3,1972,Household packaging,"ABS, SAN"
EU27+3,EU27+3,1972,Household packaging,PMMA
EU27+3,EU27+3,1972,Household packaging,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Household packaging,PC
EU27+3,EU27+3,1972,Household packaging,Other Thermoplastics
EU27+3,EU27+3,1972,Household packaging,PUR
EU27+3,EU27+3,1972,Household packaging,Other Plastics
EU27+3,EU27+3,1972,Commercial & industrial packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Commercial & industrial packaging,"PE-HD, -MD"
EU27+3,EU27+3,1972,Commercial & industrial packaging,PP
EU27+3,EU27+3,1972,Commercial & industrial packaging,PS
EU27+3,EU27+3,1972,Commercial & industrial packaging,PS-E
EU27+3,EU27+3,1972,Commercial & industrial packaging,PVC
EU27+3,EU27+3,1972,Commercial & industrial packaging,PET
EU27+3,EU27+3,1972,Commercial & industrial packaging,"ABS, SAN"
EU27+3,EU27+3,1972,Commercial & industrial packaging,PMMA
EU27+3,EU27+3,1972,Commercial & industrial packaging,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Commercial & industrial packaging,PC
EU27+3,EU27+3,1972,Commercial & industrial packaging,Other Thermoplastics
EU27+3,EU27+3,1972,Commercial & industrial packaging,PUR
EU27+3,EU27+3,1972,Commercial & industrial packaging,Other Plastics
EU27+3,EU27+3,1972,Building and Construction,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Building and Construction,"PE-HD, -MD"
EU27+3,EU27+3,1972,Building and Construction,PP
EU27+3,EU27+3,1972,Building and Construction,PS
EU27+3,EU27+3,1972,Building and Construction,PS-E
EU27+3,EU27+3,1972,Building and Construction,PVC
EU27+3,EU27+3,1972,Building and Construction,PET
EU27+3,EU27+3,1972,Building and Construction,"ABS, SAN"
EU27+3,EU27+3,1972,Building and Construction,PMMA
EU27+3,EU27+3,1972,Building and Construction,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Building and Construction,PC
EU27+3,EU27+3,1972,Building and Construction,Other Thermoplastics
EU27+3,EU27+3,1972,Building and Construction,PUR
EU27+3,EU27+3,1972,Building and Construction,Other Plastics
EU27+3,EU27+3,1972,EPS ETICS,PS-E
EU27+3,EU27+3,1972,EPS flat roof,PS-E
EU27+3,EU27+3,1972,EPS flooring,PS-E
EU27+3,EU27+3,1972,EPS perimeter,PS-E
EU27+3,EU27+3,1972,EPS others in B&C,PS-E
EU27+3,EU27+3,1972,PVC pipes,PVC
EU27+3,EU27+3,1972,PVC profiles,PVC
EU27+3,EU27+3,1972,PVC others in B&C,PVC
EU27+3,EU27+3,1972,PUR rigid spray foam,PUR
EU27+3,EU27+3,1972,PUR boards and panels rigid foam,PUR
EU27+3,EU27+3,1972,Automotive,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Automotive,"PE-HD, -MD"
EU27+3,EU27+3,1972,Automotive,PP
EU27+3,EU27+3,1972,Automotive,PS
EU27+3,EU27+3,1972,Automotive,PS-E
EU27+3,EU27+3,1972,Automotive,PVC
EU27+3,EU27+3,1972,Automotive,PET
EU27+3,EU27+3,1972,Automotive,"ABS, SAN"
EU27+3,EU27+3,1972,Automotive,PMMA
EU27+3,EU27+3,1972,Automotive,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Automotive,PC
EU27+3,EU27+3,1972,Automotive,Other Thermoplastics
EU27+3,EU27+3,1972,Automotive,PUR
EU27+3,EU27+3,1972,Automotive,Other Plastics
EU27+3,EU27+3,1972,PUR moulded automotive,PUR
EU27+3,EU27+3,1972,PUR others in Automotive,PUR
EU27+3,EU27+3,1972,Electrical and Electronics,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Electrical and Electronics,"PE-HD, -MD"
EU27+3,EU27+3,1972,Electrical and Electronics,PP
EU27+3,EU27+3,1972,Electrical and Electronics,PS
EU27+3,EU27+3,1972,Electrical and Electronics,PS-E
EU27+3,EU27+3,1972,Electrical and Electronics,PVC
EU27+3,EU27+3,1972,Electrical and Electronics,PET
EU27+3,EU27+3,1972,Electrical and Electronics,"ABS, SAN"
EU27+3,EU27+3,1972,Electrical and Electronics,PMMA
EU27+3,EU27+3,1972,Electrical and Electronics,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Electrical and Electronics,PC
EU27+3,EU27+3,1972,Electrical and Electronics,Other Thermoplastics
EU27+3,EU27+3,1972,Electrical and Electronics,PUR
EU27+3,EU27+3,1972,Electrical and Electronics,Other Plastics
EU27+3,EU27+3,1972,Agriculture,"PE-LD, -LLD"
EU27+3,EU27+3,1972,Agriculture,"PE-HD, -MD"
EU27+3,EU27+3,1972,Agriculture,PP
EU27+3,EU27+3,1972,Agriculture,PS
EU27+3,EU27+3,1972,Agriculture,PS-E
EU27+3,EU27+3,1972,Agriculture,PVC
EU27+3,EU27+3,1972,Agriculture,PET
EU27+3,EU27+3,1972,Agriculture,"ABS, SAN"
EU27+3,EU27+3,1972,Agriculture,PMMA
EU27+3,EU27+3,1972,Agriculture,"PA (PA6, PA66)"
EU27+3,EU27+3,1972,Agriculture,PC
EU27+3,EU27+3,1972,Agriculture,Other Thermoplastics
EU27+3,EU27+3,1972,Agriculture,PUR
EU27+3,EU27+3,1972,Agriculture,Other Plastics
EU27+3,EU27+3,1972,"Household, Leisure, Sports","PE-LD, -LLD"
