Time,Region,Concrete product,value
2020,FIN,Precast concrete (reinforced)_Basement wall,0.0
2020,FIN,Precast concrete (reinforced)_Basement ceiling,0.0
2020,FIN,Precast concrete (reinforced)_Basement ground floor,0.0
2020,FIN,Precast concrete (reinforced)_Foundation,0.0
2020,FIN,Precast concrete (not reinforced)_Exterior wall,0.0
2020,FIN,Precast concrete (not reinforced)_Interior load-bearing wall,0.0
2020,FIN,Precast concrete (not reinforced)_Interior wall,0.0
2020,FIN,Precast concrete (not reinforced)_Roof,0.0
2020,FIN,Precast concrete (not reinforced)_Floor,0.0
2020,FIN,Precast concrete (not reinforced)_Basement wall,0.0
2020,FIN,Precast concrete (not reinforced)_Basement ceiling,0.0
2020,FIN,Precast concrete (not reinforced)_Basement ground floor,0.0
2020,FIN,Precast concrete (not reinforced)_Foundation,0.0
2020,FRA,Transport concrete (not reinforced),0.0
2020,FRA,Precast concrete (not reinforced),0.0
2020,FRA,Transport concrete (reinforced),0.0
2020,FRA,Precast concrete (reinforced),0.0
2020,FRA,Transport concrete (reinforced)_Exterior wall,0.0
2020,FRA,Transport concrete (reinforced)_Interior load-bearing wall,0.0
2020,FRA,Transport concrete (reinforced)_Interior wall,0.0
2020,FRA,Transport concrete (reinforced)_Roof,0.0
2020,FRA,Transport concrete (reinforced)_Floor,0.0
2020,FRA,Transport concrete (reinforced)_Basement wall,0.0
2020,FRA,Transport concrete (reinforced)_Basement ceiling,0.0
2020,FRA,Transport concrete (reinforced)_Basement ground floor,0.0
2020,FRA,Transport concrete (reinforced)_Foundation,0.0
2020,FRA,Transport concrete (not reinforced)_Exterior wall,0.0
2020,FRA,Transport concrete (not reinforced)_Interior load-bearing wall,0.0
2020,FRA,Transport concrete (not reinforced)_Interior wall,0.0
2020,FRA,Transport concrete (not reinforced)_Roof,0.0
2020,FRA,Transport concrete (not reinforced)_Floor,0.0
2020,FRA,Transport concrete (not reinforced)_Basement wall,0.0
2020,FRA,Transport concrete (not reinforced)_Basement ceiling,0.0
2020,FRA,Transport concrete (not reinforced)_Basement ground floor,0.0
2020,FRA,Transport concrete (not reinforced)_Foundation,0.0
2020,FRA,Precast concrete (reinforced)_Exterior wall,0.0
2020,FRA,Precast concrete (reinforced)_Interior load-bearing wall,0.0
2020,FRA,Precast concrete (reinforced)_Interior wall,0.0
2020,FRA,Precast concrete (reinforced)_Roof,0.0
2020,FRA,Precast concrete (reinforced)_Floor,0.0
2020,FRA,Precast concrete (reinforced)_Basement wall,0.0
2020,FRA,Precast concrete (reinforced)_Basement ceiling,0.0
2020,FRA,Precast concrete (reinforced)_Basement ground floor,0.0
2020,FRA,Precast concrete (reinforced)_Foundation,0.0
2020,FRA,Precast concrete (not reinforced)_Exterior wall,0.0
2020,FRA,Precast concrete (not reinforced)_Interior load-bearing wall,0.0
2020,FRA,Precast concrete (not reinforced)_Interior wall,0.0
2020,FRA,Precast concrete (not reinforced)_Roof,0.0
2020,FRA,Precast concrete (not reinforced)_Floor,0.0
2020,FRA,Precast concrete (not reinforced)_Basement wall,0.0
2020,FRA,Precast concrete (not reinforced)_Basement ceiling,0.0
2020,FRA,Precast concrete (not reinforced)_Basement ground floor,0.0
2020,FRA,Precast concrete (not reinforced)_Foundation,0.0
2020,GBR,Transport concrete (not reinforced),0.0
2020,GBR,Precast concrete (not reinforced),0.0
2020,GBR,Transport concrete (reinforced),0.0
2020,GBR,Precast concrete (reinforced),0.0
2020,GBR,Transport concrete (reinforced)_Exterior wall,0.0
2020,GBR,Transport concrete (reinforced)_Interior load-bearing wall,0.0
2020,GBR,Transport concrete (reinforced)_Interior wall,0.0
2020,GBR,Transport concrete (reinforced)_Roof,0.0
2020,GBR,Transport concrete (reinforced)_Floor,0.0
2020,GBR,Transport concrete (reinforced)_Basement wall,0.0
2020,GBR,Transport concrete (reinforced)_Basement ceiling,0.0
2020,GBR,Transport concrete (reinforced)_Basement ground floor,0.0
2020,GBR,Transport concrete (reinforced)_Foundation,0.0
2020,GBR,Transport concrete (not reinforced)_Exterior wall,0.0
2020,GBR,Transport concrete (not reinforced)_Interior load-bearing wall,0.0
2020,GBR,Transport concrete (not reinforced)_Interior wall,0.0
2020,GBR,Transport concrete (not reinforced)_Roof,0.0
2020,GBR,Transport concrete (not reinforced)_Floor,0.0
2020,GBR,Transport concrete (not reinforced)_Basement wall,0.0
2020,GBR,Transport concrete (not reinforced)_Basement ceiling,0.0
2020,GBR,Transport concrete (not reinforced)_Basement ground floor,0.0
