Time,Region,Steel product,value
2020,LTU,Electrical sheet and strip,0.0
2020,LTU,Tinmill products,0.0
2020,LTU,Other metal coated sheet and strip,0.0
2020,LTU,Non-metallic coated sheet and strip,0.0
2020,LTU,Welded tubes,0.0
2020,LTU,Liquid steel,0.0
2020,LUX,Concrete reinforcing bars in transport concrete,0.0
2020,LUX,Concrete reinforcing bars in precast concrete,0.0
2020,LUX,Hot rolled bars,0.0
2020,LUX,Wire rod,0.0
2020,LUX,Railway track material,0.0
2020,LUX,Heavy sections,0.0
2020,LUX,Light sections,0.0
2020,LUX,Seamless tubes,0.0
2020,LUX,Hot rolled plate,0.0
2020,LUX,"Hot rolled coil, sheet and strip",0.0
2020,LUX,Electrical sheet and strip,0.0
2020,LUX,Tinmill products,0.0
2020,LUX,Other metal coated sheet and strip,0.0
2020,LUX,Non-metallic coated sheet and strip,0.0
2020,LUX,Welded tubes,0.0
2020,LUX,Liquid steel,0.0
2020,LVA,Concrete reinforcing bars in transport concrete,0.0
2020,LVA,Concrete reinforcing bars in precast concrete,0.0
2020,LVA,Hot rolled bars,0.0
2020,LVA,Wire rod,0.0
2020,LVA,Railway track material,0.0
2020,LVA,Heavy sections,0.0
2020,LVA,Light sections,0.0
2020,LVA,Seamless tubes,0.0
2020,LVA,Hot rolled plate,0.0
2020,LVA,"Hot rolled coil, sheet and strip",0.0
2020,LVA,Electrical sheet and strip,0.0
2020,LVA,Tinmill products,0.0
2020,LVA,Other metal coated sheet and strip,0.0
2020,LVA,Non-metallic coated sheet and strip,0.0
2020,LVA,Welded tubes,0.0
2020,LVA,Liquid steel,0.0
2020,MLT,Concrete reinforcing bars in transport concrete,0.0
2020,MLT,Concrete reinforcing bars in precast concrete,0.0
2020,MLT,Hot rolled bars,0.0
2020,MLT,Wire rod,0.0
2020,MLT,Railway track material,0.0
2020,MLT,Heavy sections,0.0
2020,MLT,Light sections,0.0
2020,MLT,Seamless tubes,0.0
2020,MLT,Hot rolled plate,0.0
2020,MLT,"Hot rolled coil, sheet and strip",0.0
2020,MLT,Electrical sheet and strip,0.0
2020,MLT,Tinmill products,0.0
2020,MLT,Other metal coated sheet and strip,0.0
2020,MLT,Non-metallic coated sheet and strip,0.0
2020,MLT,Welded tubes,0.0
2020,MLT,Liquid steel,0.0
2020,NLD,Concrete reinforcing bars in transport concrete,0.0
2020,NLD,Concrete reinforcing bars in precast concrete,0.0
2020,NLD,Hot rolled bars,0.0
2020,NLD,Wire rod,0.0
2020,NLD,Railway track material,0.0
2020,NLD,Heavy sections,0.0
2020,NLD,Light sections,0.0
2020,NLD,Seamless tubes,0.0
2020,NLD,Hot rolled plate,0.0
2020,NLD,"Hot rolled coil, sheet and strip",0.0
2020,NLD,Electrical sheet and strip,0.0
2020,NLD,Tinmill products,0.0
2020,NLD,Other metal coated sheet and strip,0.0
2020,NLD,Non-metallic coated sheet and strip,0.0
2020,NLD,Welded tubes,0.0
2020,NLD,Liquid steel,0.0
2020,POL,Concrete reinforcing bars in transport concrete,0.0
2020,POL,Concrete reinforcing bars in precast concrete,0.0
2020,POL,Hot rolled bars,0.0
2020,POL,Wire rod,0.0
2020,POL,Railway track material,0.0
2020,POL,Heavy sections,0.0
2020,POL,Light sections,0.0
2020,POL,Seamless tubes,0.0
2020,POL,Hot rolled plate,0.0
2020,POL,"Hot rolled coil, sheet and strip",0.0
2020,POL,Electrical sheet and strip,0.0
2020,POL,Tinmill products,0.0
2020,POL,Other metal coated sheet and strip,0.0
2020,POL,Non-metallic coated sheet and strip,0.0
2020,POL,Welded tubes,0.0
2020,POL,Liquid steel,0.0
2020,PRT,Concrete reinforcing bars in transport concrete,0.0
2020,PRT,Concrete reinforcing bars in precast concrete,0.0
2020,PRT,Hot rolled bars,0.0
2020,PRT,Wire rod,0.0
2020,PRT,Railway track material,0.0
2020,PRT,Heavy sections,0.0
2020,PRT,Light sections,0.0
2020,PRT,Seamless tubes,0.0
2020,PRT,Hot rolled plate,0.0
2020,PRT,"Hot rolled coil, sheet and strip",0.0
2020,PRT,Electrical sheet and strip,0.0
2020,PRT,Tinmill products,0.0
2020,PRT,Other metal coated sheet and strip,0.0
2020,PRT,Non-metallic coated sheet and strip,0.0
2020,PRT,Welded tubes,0.0
2020,PRT,Liquid steel,0.0
2020,ROU,Concrete reinforcing bars in transport concrete,0.0
2020,ROU,Concrete reinforcing bars in precast concrete,0.0
2020,ROU,Hot rolled bars,0.0
2020,ROU,Wire rod,0.0
2020,ROU,Railway track material,0.0
2020,ROU,Heavy sections,0.0
2020,ROU,Light sections,0.0
2020,ROU,Seamless tubes,0.0
2020,ROU,Hot rolled plate,0.0
2020,ROU,"Hot rolled coil, sheet and strip",0.0
2020,ROU,Electrical sheet and strip,0.0
2020,ROU,Tinmill products,0.0
2020,ROU,Other metal coated sheet and strip,0.0
