Time,Region,Concrete product,value
2044,ROU,Precast concrete (reinforced)_Basement ceiling,316983275.7092584
2044,ROU,Precast concrete (reinforced)_Basement ground floor,0.0
2044,ROU,Precast concrete (reinforced)_Foundation,0.0
2044,ROU,Precast concrete (not reinforced)_Exterior wall,1319877.7346163392
2044,ROU,Precast concrete (not reinforced)_Interior load-bearing wall,1814831.88507725
2044,ROU,Precast concrete (not reinforced)_Interior wall,0.0
2044,ROU,Precast concrete (not reinforced)_Roof,6466442.8088606
2044,ROU,Precast concrete (not reinforced)_Floor,0.0
2044,ROU,Precast concrete (not reinforced)_Basement wall,0.0
2044,ROU,Precast concrete (not reinforced)_Basement ceiling,0.0
2044,ROU,Precast concrete (not reinforced)_Basement ground floor,287221033.02728444
2044,ROU,Precast concrete (not reinforced)_Foundation,376386920.4876913
2044,SVK,Transport concrete (not reinforced),0.0
2044,SVK,Precast concrete (not reinforced),0.0
2044,SVK,Transport concrete (reinforced),0.0
2044,SVK,Precast concrete (reinforced),0.0
2044,SVK,Transport concrete (reinforced)_Exterior wall,181751104.38860863
2044,SVK,Transport concrete (reinforced)_Interior load-bearing wall,244997846.57916367
2044,SVK,Transport concrete (reinforced)_Interior wall,11364173.079412451
2044,SVK,Transport concrete (reinforced)_Roof,37389716.05444506
2044,SVK,Transport concrete (reinforced)_Floor,298705710.6826913
2044,SVK,Transport concrete (reinforced)_Basement wall,96407770.02035818
2044,SVK,Transport concrete (reinforced)_Basement ceiling,71052533.7806916
2044,SVK,Transport concrete (reinforced)_Basement ground floor,0.0
2044,SVK,Transport concrete (reinforced)_Foundation,0.0
2044,SVK,Transport concrete (not reinforced)_Exterior wall,1035428.4736079142
2044,SVK,Transport concrete (not reinforced)_Interior load-bearing wall,1423714.151356742
2044,SVK,Transport concrete (not reinforced)_Interior wall,0.0
2044,SVK,Transport concrete (not reinforced)_Roof,9861917.86578831
2044,SVK,Transport concrete (not reinforced)_Floor,0.0
2044,SVK,Transport concrete (not reinforced)_Basement wall,0.0
2044,SVK,Transport concrete (not reinforced)_Basement ceiling,0.0
2044,SVK,Transport concrete (not reinforced)_Basement ground floor,99608837.39366303
2044,SVK,Transport concrete (not reinforced)_Foundation,125007848.05341049
2044,SVK,Precast concrete (reinforced)_Exterior wall,83578975.01206416
2044,SVK,Precast concrete (reinforced)_Interior load-bearing wall,112663243.31132649
2044,SVK,Precast concrete (reinforced)_Interior wall,5225860.613393769
2044,SVK,Precast concrete (reinforced)_Roof,17193811.033023342
2044,SVK,Precast concrete (reinforced)_Floor,137361020.24397266
2044,SVK,Precast concrete (reinforced)_Basement wall,44333500.08717975
2044,SVK,Precast concrete (reinforced)_Basement ceiling,32673792.904419735
2044,SVK,Precast concrete (reinforced)_Basement ground floor,0.0
2044,SVK,Precast concrete (reinforced)_Foundation,0.0
2044,SVK,Precast concrete (not reinforced)_Exterior wall,476145.9405404622
2044,SVK,Precast concrete (not reinforced)_Interior load-bearing wall,654700.6682358425
2044,SVK,Precast concrete (not reinforced)_Interior wall,0.0
2044,SVK,Precast concrete (not reinforced)_Roof,4535042.522338787
2044,SVK,Precast concrete (not reinforced)_Floor,0.0
2044,SVK,Precast concrete (not reinforced)_Basement wall,0.0
2044,SVK,Precast concrete (not reinforced)_Basement ceiling,0.0
2044,SVK,Precast concrete (not reinforced)_Basement ground floor,45805523.76781431
2044,SVK,Precast concrete (not reinforced)_Foundation,57485360.77499377
2044,SVN,Transport concrete (not reinforced),0.0
2044,SVN,Precast concrete (not reinforced),0.0
2044,SVN,Transport concrete (reinforced),0.0
2044,SVN,Precast concrete (reinforced),0.0
2044,SVN,Transport concrete (reinforced)_Exterior wall,88439980.21412705
2044,SVN,Transport concrete (reinforced)_Interior load-bearing wall,115732807.05284016
2044,SVN,Transport concrete (reinforced)_Interior wall,6460386.681882854
2044,SVN,Transport concrete (reinforced)_Roof,45338196.80050175
2044,SVN,Transport concrete (reinforced)_Floor,209055037.0335846
2044,SVN,Transport concrete (reinforced)_Basement wall,92728951.45660071
2044,SVN,Transport concrete (reinforced)_Basement ceiling,74522587.73615916
2044,SVN,Transport concrete (reinforced)_Basement ground floor,0.0
2044,SVN,Transport concrete (reinforced)_Foundation,0.0
2044,SVN,Transport concrete (not reinforced)_Exterior wall,1187525.3568489144
2044,SVN,Transport concrete (not reinforced)_Interior load-bearing wall,1632847.365834543
2044,SVN,Transport concrete (not reinforced)_Interior wall,0.0
2044,SVN,Transport concrete (not reinforced)_Roof,4230820.694616538
2044,SVN,Transport concrete (not reinforced)_Floor,0.0
2044,SVN,Transport concrete (not reinforced)_Basement wall,0.0
2044,SVN,Transport concrete (not reinforced)_Basement ceiling,0.0
2044,SVN,Transport concrete (not reinforced)_Basement ground floor,98458297.65905434
2044,SVN,Transport concrete (not reinforced)_Foundation,124969257.61246991
2044,SVN,Precast concrete (reinforced)_Exterior wall,40669479.95344945
2044,SVN,Precast concrete (reinforced)_Interior load-bearing wall,53220195.93751489
2044,SVN,Precast concrete (reinforced)_Interior wall,2970834.751655399
2044,SVN,Precast concrete (reinforced)_Roof,20848951.814017102
2044,SVN,Precast concrete (reinforced)_Floor,96134798.05330127
2044,SVN,Precast concrete (reinforced)_Basement wall,42641780.6035519
2044,SVN,Precast concrete (reinforced)_Basement ceiling,34269511.14759087
2044,SVN,Precast concrete (reinforced)_Basement ground floor,0.0
2044,SVN,Precast concrete (reinforced)_Foundation,0.0
2044,SVN,Precast concrete (not reinforced)_Exterior wall,546088.3029247154
2044,SVN,Precast concrete (not reinforced)_Interior load-bearing wall,750871.4165131194
2044,SVN,Precast concrete (not reinforced)_Interior wall,0.0
2044,SVN,Precast concrete (not reinforced)_Roof,1945559.8814554922
2044,SVN,Precast concrete (not reinforced)_Floor,0.0
2044,SVN,Precast concrete (not reinforced)_Basement wall,0.0
2044,SVN,Precast concrete (not reinforced)_Basement ceiling,0.0
2044,SVN,Precast concrete (not reinforced)_Basement ground floor,45276443.452154666
2044,SVN,Precast concrete (not reinforced)_Foundation,57467614.80277016
2044,SWE,Transport concrete (not reinforced),0.0
2044,SWE,Precast concrete (not reinforced),0.0
2044,SWE,Transport concrete (reinforced),0.0
2044,SWE,Precast concrete (reinforced),0.0
2044,SWE,Transport concrete (reinforced)_Exterior wall,23628750.17312692
2044,SWE,Transport concrete (reinforced)_Interior load-bearing wall,31450681.268377572
2044,SWE,Transport concrete (reinforced)_Interior wall,0.0
2044,SWE,Transport concrete (reinforced)_Roof,307899137.7934174
2044,SWE,Transport concrete (reinforced)_Floor,1731759501.2436197
2044,SWE,Transport concrete (reinforced)_Basement wall,1823284051.8129869
2044,SWE,Transport concrete (reinforced)_Basement ceiling,1497697759.3118465
2044,SWE,Transport concrete (reinforced)_Basement ground floor,0.0
2044,SWE,Transport concrete (reinforced)_Foundation,0.0
2044,SWE,Transport concrete (not reinforced)_Exterior wall,0.0
2044,SWE,Transport concrete (not reinforced)_Interior load-bearing wall,0.0
2044,SWE,Transport concrete (not reinforced)_Interior wall,0.0
2044,SWE,Transport concrete (not reinforced)_Roof,0.0
2044,SWE,Transport concrete (not reinforced)_Floor,0.0
2044,SWE,Transport concrete (not reinforced)_Basement wall,0.0
2044,SWE,Transport concrete (not reinforced)_Basement ceiling,0.0
2044,SWE,Transport concrete (not reinforced)_Basement ground floor,857806602.6592785
2044,SWE,Transport concrete (not reinforced)_Foundation,1186525826.0405226
2044,SWE,Precast concrete (reinforced)_Exterior wall,10865775.631509874
2044,SWE,Precast concrete (reinforced)_Interior load-bearing wall,14462722.041293146
2044,SWE,Precast concrete (reinforced)_Interior wall,0.0
2044,SWE,Precast concrete (reinforced)_Roof,141588654.61550093
2044,SWE,Precast concrete (reinforced)_Floor,796356558.9016509
2044,SWE,Precast concrete (reinforced)_Basement wall,838444490.8453871
2044,SWE,Precast concrete (reinforced)_Basement ceiling,688722327.5214508
2044,SWE,Precast concrete (reinforced)_Basement ground floor,0.0
2044,SWE,Precast concrete (reinforced)_Foundation,0.0
2044,SWE,Precast concrete (not reinforced)_Exterior wall,0.0
2044,SWE,Precast concrete (not reinforced)_Interior load-bearing wall,0.0
2044,SWE,Precast concrete (not reinforced)_Interior wall,0.0
2044,SWE,Precast concrete (not reinforced)_Roof,0.0
2044,SWE,Precast concrete (not reinforced)_Floor,0.0
2044,SWE,Precast concrete (not reinforced)_Basement wall,0.0
2044,SWE,Precast concrete (not reinforced)_Basement ceiling,0.0
2044,SWE,Precast concrete (not reinforced)_Basement ground floor,394465809.9902952
2044,SWE,Precast concrete (not reinforced)_Foundation,545628664.425754
2045,AUT,Transport concrete (not reinforced),0.0
2045,AUT,Precast concrete (not reinforced),0.0
2045,AUT,Transport concrete (reinforced),0.0
2045,AUT,Precast concrete (reinforced),0.0
2045,AUT,Transport concrete (reinforced)_Exterior wall,768047060.7157121
2045,AUT,Transport concrete (reinforced)_Interior load-bearing wall,1025311207.6517293
2045,AUT,Transport concrete (reinforced)_Interior wall,80131520.83066201
2045,AUT,Transport concrete (reinforced)_Roof,274984629.2001813
2045,AUT,Transport concrete (reinforced)_Floor,1734625088.6478612
2045,AUT,Transport concrete (reinforced)_Basement wall,762059558.7984223
2045,AUT,Transport concrete (reinforced)_Basement ceiling,575047166.871587
2045,AUT,Transport concrete (reinforced)_Basement ground floor,0.0
2045,AUT,Transport concrete (reinforced)_Foundation,0.0
2045,AUT,Transport concrete (not reinforced)_Exterior wall,8320842.6513825925
2045,AUT,Transport concrete (not reinforced)_Interior load-bearing wall,11441158.646823214
2045,AUT,Transport concrete (not reinforced)_Interior wall,0.0
2045,AUT,Transport concrete (not reinforced)_Roof,39112709.947136596
2045,AUT,Transport concrete (not reinforced)_Floor,0.0
2045,AUT,Transport concrete (not reinforced)_Basement wall,0.0
2045,AUT,Transport concrete (not reinforced)_Basement ceiling,0.0
2045,AUT,Transport concrete (not reinforced)_Basement ground floor,665551732.425015
2045,AUT,Transport concrete (not reinforced)_Foundation,847336033.2941757
2045,AUT,Precast concrete (reinforced)_Exterior wall,353189524.28047186
2045,AUT,Precast concrete (reinforced)_Interior load-bearing wall,471493475.0067921
2045,AUT,Precast concrete (reinforced)_Interior wall,36848801.55151151
2045,AUT,Precast concrete (reinforced)_Roof,126452785.69120064
2045,AUT,Precast concrete (reinforced)_Floor,797674310.8586309
2045,AUT,Precast concrete (reinforced)_Basement wall,350436147.5192999
2045,AUT,Precast concrete (reinforced)_Basement ceiling,264437748.2551041
2045,AUT,Precast concrete (reinforced)_Basement ground floor,0.0
2045,AUT,Precast concrete (reinforced)_Foundation,0.0
2045,AUT,Precast concrete (not reinforced)_Exterior wall,3826372.899063257
2045,AUT,Precast concrete (not reinforced)_Interior load-bearing wall,5261262.736153371
2045,AUT,Precast concrete (not reinforced)_Interior wall,0.0
2045,AUT,Precast concrete (not reinforced)_Roof,17986136.690978095
2045,AUT,Precast concrete (not reinforced)_Floor,0.0
2045,AUT,Precast concrete (not reinforced)_Basement wall,0.0
2045,AUT,Precast concrete (not reinforced)_Basement ceiling,0.0
2045,AUT,Precast concrete (not reinforced)_Basement ground floor,306056636.0987199
2045,AUT,Precast concrete (not reinforced)_Foundation,389650876.55798656
2045,BEL,Transport concrete (not reinforced),0.0
2045,BEL,Precast concrete (not reinforced),0.0
2045,BEL,Transport concrete (reinforced),0.0
2045,BEL,Precast concrete (reinforced),0.0
2045,BEL,Transport concrete (reinforced)_Exterior wall,774927215.6355112
2045,BEL,Transport concrete (reinforced)_Interior load-bearing wall,1028719333.5708022
2045,BEL,Transport concrete (reinforced)_Interior wall,61993159.98803444
2045,BEL,Transport concrete (reinforced)_Roof,304910736.95783305
2045,BEL,Transport concrete (reinforced)_Floor,1719863263.4901493
2045,BEL,Transport concrete (reinforced)_Basement wall,751567193.0834769
2045,BEL,Transport concrete (reinforced)_Basement ceiling,590685891.9415143
2045,BEL,Transport concrete (reinforced)_Basement ground floor,0.0
2045,BEL,Transport concrete (reinforced)_Foundation,0.0
2045,BEL,Transport concrete (not reinforced)_Exterior wall,4889114.031015022
2045,BEL,Transport concrete (not reinforced)_Interior load-bearing wall,6722531.793334381
2045,BEL,Transport concrete (not reinforced)_Interior wall,0.0
2045,BEL,Transport concrete (not reinforced)_Roof,39165870.664386325
2045,BEL,Transport concrete (not reinforced)_Floor,0.0
2045,BEL,Transport concrete (not reinforced)_Basement wall,0.0
2045,BEL,Transport concrete (not reinforced)_Basement ceiling,0.0
2045,BEL,Transport concrete (not reinforced)_Basement ground floor,713825854.1819136
2045,BEL,Transport concrete (not reinforced)_Foundation,909758265.2133017
2045,BEL,Precast concrete (reinforced)_Exterior wall,356353391.13731027
2045,BEL,Precast concrete (reinforced)_Interior load-bearing wall,473060715.40299886
2045,BEL,Precast concrete (reinforced)_Interior wall,28507803.499419898
2045,BEL,Precast concrete (reinforced)_Roof,140214426.4880702
2045,BEL,Precast concrete (reinforced)_Floor,790886026.2908633
2045,BEL,Precast concrete (reinforced)_Basement wall,345611191.02998465
2045,BEL,Precast concrete (reinforced)_Basement ceiling,271629278.7649526
2045,BEL,Precast concrete (reinforced)_Basement ground floor,0.0
2045,BEL,Precast concrete (reinforced)_Foundation,0.0
2045,BEL,Precast concrete (not reinforced)_Exterior wall,2248278.7155694314
2045,BEL,Precast concrete (not reinforced)_Interior load-bearing wall,3091383.2338735317
2045,BEL,Precast concrete (not reinforced)_Interior wall,0.0
2045,BEL,Precast concrete (not reinforced)_Roof,18010582.860567335
2045,BEL,Precast concrete (not reinforced)_Floor,0.0
2045,BEL,Precast concrete (not reinforced)_Basement wall,0.0
2045,BEL,Precast concrete (not reinforced)_Basement ceiling,0.0
2045,BEL,Precast concrete (not reinforced)_Basement ground floor,328255684.787283
2045,BEL,Precast concrete (not reinforced)_Foundation,418355990.4925045
2045,BGR,Transport concrete (not reinforced),0.0
2045,BGR,Precast concrete (not reinforced),0.0
2045,BGR,Transport concrete (reinforced),0.0
2045,BGR,Precast concrete (reinforced),0.0
2045,BGR,Transport concrete (reinforced)_Exterior wall,275477496.2530182
2045,BGR,Transport concrete (reinforced)_Interior load-bearing wall,357288377.471038
2045,BGR,Transport concrete (reinforced)_Interior wall,6115925.717411602
2045,BGR,Transport concrete (reinforced)_Roof,111267356.642238
2045,BGR,Transport concrete (reinforced)_Floor,424184772.3441851
2045,BGR,Transport concrete (reinforced)_Basement wall,102412204.57523951
2045,BGR,Transport concrete (reinforced)_Basement ceiling,83713838.61340483
2045,BGR,Transport concrete (reinforced)_Basement ground floor,0.0
2045,BGR,Transport concrete (reinforced)_Foundation,0.0
2045,BGR,Transport concrete (not reinforced)_Exterior wall,2512635.0199621147
2045,BGR,Transport concrete (not reinforced)_Interior load-bearing wall,3454873.1528018606
2045,BGR,Transport concrete (not reinforced)_Interior wall,0.0
2045,BGR,Transport concrete (not reinforced)_Roof,13125970.612897567
2045,BGR,Transport concrete (not reinforced)_Floor,0.0
2045,BGR,Transport concrete (not reinforced)_Basement wall,0.0
2045,BGR,Transport concrete (not reinforced)_Basement ceiling,0.0
2045,BGR,Transport concrete (not reinforced)_Basement ground floor,235164468.68170586
2045,BGR,Transport concrete (not reinforced)_Foundation,288095739.479577
2045,BGR,Precast concrete (reinforced)_Exterior wall,126679432.58451633
2045,BGR,Precast concrete (reinforced)_Interior load-bearing wall,164300494.7329949
2045,BGR,Precast concrete (reinforced)_Interior wall,2812432.994263737
2045,BGR,Precast concrete (reinforced)_Roof,51166740.65268542
2045,BGR,Precast concrete (reinforced)_Floor,195063070.49519092
2045,BGR,Precast concrete (reinforced)_Basement wall,47094663.42570777
2045,BGR,Precast concrete (reinforced)_Basement ceiling,38496144.762736164
2045,BGR,Precast concrete (reinforced)_Basement ground floor,0.0
2045,BGR,Precast concrete (reinforced)_Foundation,0.0
2045,BGR,Precast concrete (not reinforced)_Exterior wall,1155445.3014470586
2045,BGR,Precast concrete (not reinforced)_Interior load-bearing wall,1588737.289472008
2045,BGR,Precast concrete (not reinforced)_Interior wall,0.0
2045,BGR,Precast concrete (not reinforced)_Roof,6036030.281974226
2045,BGR,Precast concrete (not reinforced)_Floor,0.0
2045,BGR,Precast concrete (not reinforced)_Basement wall,0.0
2045,BGR,Precast concrete (not reinforced)_Basement ceiling,0.0
2045,BGR,Precast concrete (not reinforced)_Basement ground floor,108141325.02302316
2045,BGR,Precast concrete (not reinforced)_Foundation,132481982.36129366
2045,CYP,Transport concrete (not reinforced),0.0
2045,CYP,Precast concrete (not reinforced),0.0
