Time,Region,Glass product,value
2024,MLT,Flat glass,233597.33961476164
2024,MLT,Container glass,0.0
2024,MLT,Other glass,0.0
2024,NLD,Flat glass,10116636.584351992
2024,NLD,Container glass,0.0
2024,NLD,Other glass,0.0
2024,POL,Flat glass,18953607.078955088
2024,POL,Container glass,0.0
2024,POL,Other glass,0.0
2024,PRT,Flat glass,6234791.2906395225
2024,PRT,Container glass,0.0
2024,PRT,Other glass,0.0
2024,ROU,Flat glass,6072129.232100801
2024,ROU,Container glass,0.0
2024,ROU,Other glass,0.0
2024,SVK,Flat glass,2201961.087476091
2024,SVK,Container glass,0.0
2024,SVK,Other glass,0.0
2024,SVN,Flat glass,1020558.3799959092
2024,SVN,Container glass,0.0
2024,SVN,Other glass,0.0
2024,SWE,Flat glass,8718547.522753136
2024,SWE,Container glass,0.0
2024,SWE,Other glass,0.0
2025,AUT,Flat glass,6694975.25989981
2025,AUT,Container glass,0.0
2025,AUT,Other glass,0.0
2025,BEL,Flat glass,5255779.580445883
2025,BEL,Container glass,0.0
2025,BEL,Other glass,0.0
2025,BGR,Flat glass,4368527.804333801
2025,BGR,Container glass,0.0
2025,BGR,Other glass,0.0
2025,CYP,Flat glass,272916.33318906056
2025,CYP,Container glass,0.0
2025,CYP,Other glass,0.0
2025,CZE,Flat glass,4317392.669444048
2025,CZE,Container glass,0.0
2025,CZE,Other glass,0.0
2025,DEU,Flat glass,94579382.55778402
2025,DEU,Container glass,0.0
2025,DEU,Other glass,0.0
2025,DNK,Flat glass,3973213.4472415806
2025,DNK,Container glass,0.0
2025,DNK,Other glass,0.0
2025,ESP,Flat glass,18038461.69308075
2025,ESP,Container glass,0.0
2025,ESP,Other glass,0.0
2025,EST,Flat glass,766854.1469497307
2025,EST,Container glass,0.0
2025,EST,Other glass,0.0
2025,FIN,Flat glass,2602886.014414075
2025,FIN,Container glass,0.0
2025,FIN,Other glass,0.0
2025,FRA,Flat glass,50670967.9102131
2025,FRA,Container glass,0.0
2025,FRA,Other glass,0.0
2025,GBR,Flat glass,28804771.98034428
2025,GBR,Container glass,0.0
2025,GBR,Other glass,0.0
