Time,Region,Insulation product,value
2022,LUX,Insulation (Floor),0.0
2022,LUX,Insulation (Basement),0.0
2022,LVA,Insulation,-3825535.142652859
2022,LVA,Insulation (Exterior wall),0.0
2022,LVA,Insulation (Roof),0.0
2022,LVA,Insulation (Floor),0.0
2022,LVA,Insulation (Basement),0.0
2022,MLT,Insulation,-344012.23938774527
2022,MLT,Insulation (Exterior wall),0.0
2022,MLT,Insulation (Roof),0.0
2022,MLT,Insulation (Floor),0.0
2022,MLT,Insulation (Basement),0.0
2022,NLD,Insulation,-21883301.04955565
2022,NLD,Insulation (Exterior wall),0.0
2022,NLD,Insulation (Roof),0.0
2022,NLD,Insulation (Floor),0.0
2022,NLD,Insulation (Basement),0.0
2022,POL,Insulation,-42388363.3776477
2022,POL,Insulation (Exterior wall),0.0
2022,POL,Insulation (Roof),0.0
2022,POL,Insulation (Floor),0.0
2022,POL,Insulation (Basement),0.0
2022,PRT,Insulation,-8343522.555283392
2022,PRT,Insulation (Exterior wall),0.0
2022,PRT,Insulation (Roof),0.0
2022,PRT,Insulation (Floor),0.0
2022,PRT,Insulation (Basement),0.0
2022,ROU,Insulation,-19891236.02103419
2022,ROU,Insulation (Exterior wall),0.0
2022,ROU,Insulation (Roof),0.0
2022,ROU,Insulation (Floor),0.0
2022,ROU,Insulation (Basement),0.0
2022,SVK,Insulation,-5425279.037164814
2022,SVK,Insulation (Exterior wall),0.0
2022,SVK,Insulation (Roof),0.0
2022,SVK,Insulation (Floor),0.0
2022,SVK,Insulation (Basement),0.0
2022,SVN,Insulation,-2810938.4904256123
2022,SVN,Insulation (Exterior wall),0.0
2022,SVN,Insulation (Roof),0.0
2022,SVN,Insulation (Floor),0.0
2022,SVN,Insulation (Basement),0.0
2022,SWE,Insulation,-19258011.57891114
2022,SWE,Insulation (Exterior wall),0.0
2022,SWE,Insulation (Roof),0.0
2022,SWE,Insulation (Floor),0.0
2022,SWE,Insulation (Basement),0.0
2023,AUT,Insulation,-15332339.705415776
2023,AUT,Insulation (Exterior wall),0.0
2023,AUT,Insulation (Roof),0.0
2023,AUT,Insulation (Floor),0.0
2023,AUT,Insulation (Basement),0.0
2023,BEL,Insulation,-11936784.30156506
2023,BEL,Insulation (Exterior wall),0.0
2023,BEL,Insulation (Roof),0.0
2023,BEL,Insulation (Floor),0.0
2023,BEL,Insulation (Basement),0.0
2023,BGR,Insulation,-11721558.557152359
2023,BGR,Insulation (Exterior wall),0.0
2023,BGR,Insulation (Roof),0.0
2023,BGR,Insulation (Floor),0.0
2023,BGR,Insulation (Basement),0.0
2023,CYP,Insulation,-591075.8447541572
2023,CYP,Insulation (Exterior wall),0.0
2023,CYP,Insulation (Roof),0.0
2023,CYP,Insulation (Floor),0.0
2023,CYP,Insulation (Basement),0.0
2023,CZE,Insulation,-12075361.536528863
2023,CZE,Insulation (Exterior wall),0.0
2023,CZE,Insulation (Roof),0.0
2023,CZE,Insulation (Floor),0.0
2023,CZE,Insulation (Basement),0.0
2023,DEU,Insulation,-206927293.32007128
2023,DEU,Insulation (Exterior wall),0.0
2023,DEU,Insulation (Roof),0.0
2023,DEU,Insulation (Floor),0.0
2023,DEU,Insulation (Basement),0.0
2023,DNK,Insulation,0.0
2023,DNK,Insulation (Exterior wall),0.0
2023,DNK,Insulation (Roof),0.0
2023,DNK,Insulation (Floor),0.0
2023,DNK,Insulation (Basement),0.0
2023,ESP,Insulation,-22502749.504882988
2023,ESP,Insulation (Exterior wall),0.0
2023,ESP,Insulation (Roof),0.0
2023,ESP,Insulation (Floor),0.0
2023,ESP,Insulation (Basement),0.0
2023,EST,Insulation,-1743419.7478242833
