"region","time","sector","polymer","element","value"
"Germany",2021,"Electrical and Electronics","PC","All",0.01
"North",2021,"Electrical and Electronics","PE-LD, -LLD","All",0.01
"North",2021,"Electrical and Electronics","PE-HD, -MD","All",0.01
"EU27+3",2021,"Electrical and Electronics","PUR","All",0.01
"Germany",2021,"Electrical and Electronics","PE-LD, -LLD","All",0.01
"Germany",2021,"Electrical and Electronics","PE-HD, -MD","All",0.01
"Germany",2021,"Electrical and Electronics","PP","All",0.01
"Germany",2021,"Electrical and Electronics","PS","All",0.01
"Germany",2021,"Electrical and Electronics","PS-E","All",0.01
"Germany",2021,"Electrical and Electronics","PVC","All",0.01
"Germany",2021,"Electrical and Electronics","PET","All",0.01
"Germany",2021,"Electrical and Electronics","ABS, SAN","All",0.01
"Germany",2021,"Electrical and Electronics","PMMA","All",0.01
"Germany",2021,"Electrical and Electronics","PA (PA6, PA66)","All",0.01
"East",2021,"Electrical and Electronics","PE-LD, -LLD","All",0.01
"Germany",2021,"Electrical and Electronics","Other Thermoplastics","All",0.01
"Germany",2021,"Electrical and Electronics","PUR","All",0.01
"Germany",2021,"Electrical and Electronics","Other Plastics","All",0.01
"East",2021,"Electrical and Electronics","PS","All",0.01
"East",2021,"Electrical and Electronics","PS-E","All",0.01
"East",2021,"Electrical and Electronics","PVC","All",0.01
"East",2021,"Electrical and Electronics","PET","All",0.01
"East",2021,"Electrical and Electronics","ABS, SAN","All",0.01
"East",2021,"Electrical and Electronics","PMMA","All",0.01
"East",2021,"Electrical and Electronics","PA (PA6, PA66)","All",0.01
"West",2021,"Electrical and Electronics","ABS, SAN","All",0.01
"West",2021,"Electrical and Electronics","PMMA","All",0.01
"West",2021,"Electrical and Electronics","PA (PA6, PA66)","All",0.01
"West",2021,"Electrical and Electronics","PC","All",0.01
"West",2021,"Electrical and Electronics","Other Thermoplastics","All",0.01
"West",2021,"Electrical and Electronics","PUR","All",0.01
"West",2021,"Electrical and Electronics","Other Plastics","All",0.01
"North",2021,"Electrical and Electronics","PS","All",0.01
"North",2021,"Electrical and Electronics","PS-E","All",0.01
"North",2021,"Electrical and Electronics","PVC","All",0.01
"North",2021,"Electrical and Electronics","PET","All",0.01
"North",2021,"Electrical and Electronics","ABS, SAN","All",0.01
"North",2021,"Electrical and Electronics","PMMA","All",0.01
"North",2021,"Electrical and Electronics","PA (PA6, PA66)","All",0.01
"North",2021,"Electrical and Electronics","PC","All",0.01
"EU27+3",2021,"Electrical and Electronics","PA (PA6, PA66)","All",0.01
"EU27+3",2021,"Electrical and Electronics","PC","All",0.01
"EU27+3",2021,"Electrical and Electronics","Other Thermoplastics","All",0.01
"South",2021,"Electrical and Electronics","PE-LD, -LLD","All",0.01
"EU27+3",2021,"Electrical and Electronics","Other Plastics","All",0.01
"South",2021,"Electrical and Electronics","PE-HD, -MD","All",0.01
"South",2021,"Electrical and Electronics","PP","All",0.01
"South",2021,"Electrical and Electronics","PS","All",0.01
"South",2021,"Electrical and Electronics","PS-E","All",0.01
"South",2021,"Electrical and Electronics","PVC","All",0.01
"South",2021,"Electrical and Electronics","PET","All",0.01
"South",2021,"Electrical and Electronics","ABS, SAN","All",0.01
"South",2021,"Electrical and Electronics","PMMA","All",0.01
"South",2021,"Electrical and Electronics","PA (PA6, PA66)","All",0.01
"South",2021,"Electrical and Electronics","PC","All",0.01
"South",2021,"Electrical and Electronics","Other Thermoplastics","All",0.01
"East",2021,"Electrical and Electronics","PE-HD, -MD","All",0.01
"East",2021,"Electrical and Electronics","PP","All",0.01
"North",2021,"Electrical and Electronics","PP","All",0.01
"East",2021,"Electrical and Electronics","PUR","All",0.01
"East",2021,"Electrical and Electronics","Other Plastics","All",0.01
"East",2021,"Electrical and Electronics","PC","All",0.01
"East",2021,"Electrical and Electronics","Other Thermoplastics","All",0.01
"South",2021,"Electrical and Electronics","Other Plastics","All",0.01
"North",2021,"Electrical and Electronics","Other Thermoplastics","All",0.01
"North",2021,"Electrical and Electronics","Other Plastics","All",0.01
"South",2021,"Electrical and Electronics","PUR","All",0.01
"North",2021,"Electrical and Electronics","PUR","All",0.01
"South",2021,"Household packaging","PS-E","All",0.01
"South",2021,"Household packaging","PMMA","All",0.01
"South",2021,"Household packaging","PVC","All",0.01
"South",2021,"Household packaging","PET","All",0.01
"West",2021,"Household packaging","PVC","All",0.01
"West",2021,"Household packaging","PP","All",0.01
"West",2021,"Household packaging","PS","All",0.01
"South",2021,"Household packaging","ABS, SAN","All",0.01
"West",2021,"Household packaging","PE-LD, -LLD","All",0.01
"West",2021,"Household packaging","PET","All",0.01
"West",2021,"Household packaging","ABS, SAN","All",0.01
"West",2021,"Household packaging","PS-E","All",0.01
"EU27+3",2021,"Household packaging","PP","All",0.01
"West",2021,"Household packaging","PE-HD, -MD","All",0.01
"EU27+3",2021,"Household packaging","PE-LD, -LLD","All",0.01
"EU27+3",2021,"Household packaging","PE-HD, -MD","All",0.01
"EU27+3",2021,"Household packaging","PET","All",0.01
"EU27+3",2021,"Household packaging","PS","All",0.01
"EU27+3",2021,"Household packaging","PS-E","All",0.01
"EU27+3",2021,"Household packaging","PVC","All",0.01
"North",2021,"Household packaging","PE-LD, -LLD","All",0.01
"South",2021,"Household packaging","PE-HD, -MD","All",0.01
"South",2021,"Household packaging","PP","All",0.01
"South",2021,"Household packaging","PS","All",0.01
"Germany",2021,"Household packaging","PE-LD, -LLD","All",0.01
"Germany",2021,"Household packaging","PE-HD, -MD","All",0.01
"Germany",2021,"Household packaging","PP","All",0.01
"Germany",2021,"Household packaging","PS","All",0.01
"Germany",2021,"Household packaging","PS-E","All",0.01
"Germany",2021,"Household packaging","PVC","All",0.01
"Germany",2021,"Household packaging","PET","All",0.01
"Germany",2021,"Household packaging","ABS, SAN","All",0.01
"Germany",2021,"Household packaging","PMMA","All",0.01
"South",2021,"Household packaging","PE-LD, -LLD","All",0.01
"South",2021,"Household packaging","Other Plastics","All",0.01
"Germany",2021,"Household packaging","PC","All",0.01
"Germany",2021,"Household packaging","Other Thermoplastics","All",0.01
"Germany",2021,"Household packaging","PUR","All",0.01
"Germany",2021,"Household packaging","Other Plastics","All",0.01
"East",2021,"Household packaging","PVC","All",0.01
"East",2021,"Household packaging","PET","All",0.01
"East",2021,"Household packaging","ABS, SAN","All",0.01
"East",2021,"Household packaging","PMMA","All",0.01
"East",2021,"Household packaging","PA (PA6, PA66)","All",0.01
"West",2021,"Household packaging","PMMA","All",0.01
"West",2021,"Household packaging","PA (PA6, PA66)","All",0.01
"West",2021,"Household packaging","PC","All",0.01
"West",2021,"Household packaging","Other Thermoplastics","All",0.01
"North",2021,"Household packaging","PE-HD, -MD","All",0.01
"North",2021,"Household packaging","PP","All",0.01
"North",2021,"Household packaging","PS","All",0.01
"North",2021,"Household packaging","PS-E","All",0.01
"North",2021,"Household packaging","PVC","All",0.01
"North",2021,"Household packaging","PET","All",0.01
"North",2021,"Household packaging","ABS, SAN","All",0.01
"North",2021,"Household packaging","PMMA","All",0.01
"North",2021,"Household packaging","PA (PA6, PA66)","All",0.01
"North",2021,"Household packaging","PC","All",0.01
"North",2021,"Household packaging","Other Thermoplastics","All",0.01
"North",2021,"Household packaging","PUR","All",0.01
"North",2021,"Household packaging","Other Plastics","All",0.01
"EU27+3",2021,"Household packaging","PC","All",0.01
"EU27+3",2021,"Household packaging","Other Thermoplastics","All",0.01
"EU27+3",2021,"Household packaging","PUR","All",0.01
"EU27+3",2021,"Household packaging","Other Plastics","All",0.01
"East",2021,"Household packaging","PS-E","All",0.01
"South",2021,"Household packaging","PA (PA6, PA66)","All",0.01
"South",2021,"Household packaging","PC","All",0.01
"South",2021,"Household packaging","Other Thermoplastics","All",0.01
"South",2021,"Household packaging","PUR","All",0.01
"Germany",2021,"Household packaging","PA (PA6, PA66)","All",0.01
"East",2021,"Household packaging","PE-HD, -MD","All",0.01
