Region;Building type;Age cohort;Steel product;value
AUT;Ret;>1945;Welded tubes;0
AUT;Ret;>1945;Liquid steel;0
AUT;Ret;1945-1969;Concrete reinforcing bars in transport concrete;0
AUT;Ret;1945-1969;Concrete reinforcing bars in precast concrete;0
AUT;Ret;1945-1969;Hot rolled bars;0
AUT;Ret;1945-1969;Wire rod;0
AUT;Ret;1945-1969;Railway track material;0
AUT;Ret;1945-1969;Heavy sections;0
AUT;Ret;1945-1969;Light sections;0
AUT;Ret;1945-1969;Seamless tubes;0
AUT;Ret;1945-1969;Hot rolled plate;0
AUT;Ret;1945-1969;Hot rolled coild, sheet and strip;0
AUT;Ret;1945-1969;Electrical sheet and strip;0
AUT;Ret;1945-1969;Tinmill products;0
AUT;Ret;1945-1969;Other metal coated sheet and strip;0
AUT;Ret;1945-1969;Non-metallic coated sheet and strip;0
AUT;Ret;1945-1969;Welded tubes;0
AUT;Ret;1945-1969;Liquid steel;0
AUT;Ret;1970-1989;Concrete reinforcing bars in transport concrete;66.60873171
AUT;Ret;1970-1989;Concrete reinforcing bars in precast concrete;30.63029268
AUT;Ret;1970-1989;Hot rolled bars;0
AUT;Ret;1970-1989;Wire rod;0
AUT;Ret;1970-1989;Railway track material;0
AUT;Ret;1970-1989;Heavy sections;0
AUT;Ret;1970-1989;Light sections;0
AUT;Ret;1970-1989;Seamless tubes;0
AUT;Ret;1970-1989;Hot rolled plate;0
AUT;Ret;1970-1989;Hot rolled coild, sheet and strip;0
AUT;Ret;1970-1989;Electrical sheet and strip;0
AUT;Ret;1970-1989;Tinmill products;0
AUT;Ret;1970-1989;Other metal coated sheet and strip;0
AUT;Ret;1970-1989;Non-metallic coated sheet and strip;0
AUT;Ret;1970-1989;Welded tubes;0
AUT;Ret;1970-1989;Liquid steel;0
AUT;Ret;1990-2010;Concrete reinforcing bars in transport concrete;66.60873171
AUT;Ret;1990-2010;Concrete reinforcing bars in precast concrete;30.63029268
AUT;Ret;1990-2010;Hot rolled bars;0
AUT;Ret;1990-2010;Wire rod;0
AUT;Ret;1990-2010;Railway track material;0
AUT;Ret;1990-2010;Heavy sections;0
AUT;Ret;1990-2010;Light sections;0
AUT;Ret;1990-2010;Seamless tubes;0
AUT;Ret;1990-2010;Hot rolled plate;0
AUT;Ret;1990-2010;Hot rolled coild, sheet and strip;0
AUT;Ret;1990-2010;Electrical sheet and strip;0
AUT;Ret;1990-2010;Tinmill products;0
