Vehicle size;Vehicle type;Plastics product;Value
passenger car;Internal Combustion Engine – Methanol;PC;1.477953448
passenger car;Internal Combustion Engine – Methanol;PA/Nylon;11.82362758
passenger car;Internal Combustion Engine – Methanol;PUR;26.60316206
passenger car;Internal Combustion Engine – Methanol;Rubber;14.77953448
passenger car;Electric Vehicle/Pure Electric Engine;PP;59.52829538
passenger car;Electric Vehicle/Pure Electric Engine;PE;18.60259231
passenger car;Electric Vehicle/Pure Electric Engine;ABS;27.90388846
passenger car;Electric Vehicle/Pure Electric Engine;PVC;9.301296153
passenger car;Electric Vehicle/Pure Electric Engine;PC;1.860259231
passenger car;Electric Vehicle/Pure Electric Engine;PA/Nylon;14.88207384
passenger car;Electric Vehicle/Pure Electric Engine;PUR;33.48466615
passenger car;Electric Vehicle/Pure Electric Engine;Rubber;18.60259231
passenger car;Plug in Hybrid – Gasoline;PP;43.66111036
passenger car;Plug in Hybrid – Gasoline;PE;13.64409699
passenger car;Plug in Hybrid – Gasoline;ABS;20.46614548
passenger car;Plug in Hybrid – Gasoline;PVC;6.822048493
passenger car;Plug in Hybrid – Gasoline;PC;1.364409699
passenger car;Plug in Hybrid – Gasoline;PA/Nylon;10.91527759
passenger car;Plug in Hybrid – Gasoline;PUR;24.55937458
passenger car;Plug in Hybrid – Gasoline;Rubber;13.64409699
passenger car;Plug in Hybrid – Diesel Oil;PP;43.66111036
passenger car;Plug in Hybrid – Diesel Oil;PE;13.64409699
passenger car;Plug in Hybrid – Diesel Oil;ABS;20.46614548
passenger car;Plug in Hybrid – Diesel Oil;PVC;6.822048493
passenger car;Plug in Hybrid – Diesel Oil;PC;1.364409699
passenger car;Plug in Hybrid – Diesel Oil;PA/Nylon;10.91527759
passenger car;Plug in Hybrid – Diesel Oil;PUR;24.55937458
passenger car;Plug in Hybrid – Diesel Oil;Rubber;13.64409699
passenger car;Conventional Hybrid – Gasoline;PP;48.46586771
passenger car;Conventional Hybrid – Gasoline;PE;15.14558366
passenger car;Conventional Hybrid – Gasoline;ABS;22.71837549
passenger car;Conventional Hybrid – Gasoline;PVC;7.57279183
passenger car;Conventional Hybrid – Gasoline;PC;1.514558366
passenger car;Conventional Hybrid – Gasoline;PA/Nylon;12.11646693
passenger car;Conventional Hybrid – Gasoline;PUR;27.26205059
passenger car;Conventional Hybrid – Gasoline;Rubber;15.14558366
passenger car;Conventional Hybrid – Diesel Oil;PP;48.46586771
passenger car;Conventional Hybrid – Diesel Oil;PE;15.14558366
passenger car;Conventional Hybrid – Diesel Oil;ABS;22.71837549
passenger car;Conventional Hybrid – Diesel Oil;PVC;7.57279183
passenger car;Conventional Hybrid – Diesel Oil;PC;1.514558366
passenger car;Conventional Hybrid – Diesel Oil;PA/Nylon;12.11646693
passenger car;Conventional Hybrid – Diesel Oil;PUR;27.26205059
passenger car;Conventional Hybrid – Diesel Oil;Rubber;15.14558366
minivan_SUV;Internal Combustion Engine – Gasoline;PP;62.46375959
minivan_SUV;Internal Combustion Engine – Gasoline;PE;19.51992487
minivan_SUV;Internal Combustion Engine – Gasoline;ABS;29.27988731
minivan_SUV;Internal Combustion Engine – Gasoline;PVC;9.759962437
minivan_SUV;Internal Combustion Engine – Gasoline;PC;1.951992487
minivan_SUV;Internal Combustion Engine – Gasoline;PA/Nylon;15.6159399
minivan_SUV;Internal Combustion Engine – Gasoline;PUR;35.13586477
minivan_SUV;Internal Combustion Engine – Gasoline;Rubber;19.51992487
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;PP;62.46375959
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;PE;19.51992487
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;ABS;29.27988731
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;PVC;9.759962437
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;PC;1.951992487
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;PA/Nylon;15.6159399
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;PUR;35.13586477
minivan_SUV;Internal Combustion Engine – Liquified Petroleum Gas;Rubber;19.51992487
minivan_SUV;Internal Combustion Engine – Diesel Oil;PP;63.29150469
minivan_SUV;Internal Combustion Engine – Diesel Oil;PE;19.77859521
minivan_SUV;Internal Combustion Engine – Diesel Oil;ABS;29.66789282
minivan_SUV;Internal Combustion Engine – Diesel Oil;PVC;9.889297607
minivan_SUV;Internal Combustion Engine – Diesel Oil;PC;1.977859521
minivan_SUV;Internal Combustion Engine – Diesel Oil;PA/Nylon;15.82287617
minivan_SUV;Internal Combustion Engine – Diesel Oil;PUR;35.60147139
minivan_SUV;Internal Combustion Engine – Diesel Oil;Rubber;19.77859521
minivan_SUV;Internal Combustion Engine – Natural Gas;PP;62.46375959
minivan_SUV;Internal Combustion Engine – Natural Gas;PE;19.51992487
minivan_SUV;Internal Combustion Engine – Natural Gas;ABS;29.27988731
minivan_SUV;Internal Combustion Engine – Natural Gas;PVC;9.759962437
minivan_SUV;Internal Combustion Engine – Natural Gas;PC;1.951992487
minivan_SUV;Internal Combustion Engine – Natural Gas;PA/Nylon;15.6159399
minivan_SUV;Internal Combustion Engine – Natural Gas;PUR;35.13586477
minivan_SUV;Internal Combustion Engine – Natural Gas;Rubber;19.51992487
minivan_SUV;Internal Combustion Engine – Ethanol;PP;62.46375959
minivan_SUV;Internal Combustion Engine – Ethanol;PE;19.51992487
minivan_SUV;Internal Combustion Engine – Ethanol;ABS;29.27988731
minivan_SUV;Internal Combustion Engine – Ethanol;PVC;9.759962437
minivan_SUV;Internal Combustion Engine – Ethanol;PC;1.951992487
minivan_SUV;Internal Combustion Engine – Ethanol;PA/Nylon;15.6159399
minivan_SUV;Internal Combustion Engine – Ethanol;PUR;35.13586477
minivan_SUV;Internal Combustion Engine – Ethanol;Rubber;19.51992487
minivan_SUV;Internal Combustion Engine – Biodiesel;PP;63.29150469
minivan_SUV;Internal Combustion Engine – Biodiesel;PE;19.77859521
minivan_SUV;Internal Combustion Engine – Biodiesel;ABS;29.66789282
minivan_SUV;Internal Combustion Engine – Biodiesel;PVC;9.889297607
minivan_SUV;Internal Combustion Engine – Biodiesel;PC;1.977859521
minivan_SUV;Internal Combustion Engine – Biodiesel;PA/Nylon;15.82287617
minivan_SUV;Internal Combustion Engine – Biodiesel;PUR;35.60147139
minivan_SUV;Internal Combustion Engine – Biodiesel;Rubber;19.77859521
minivan_SUV;Internal Combustion Engine – Methanol;PP;62.46375959
minivan_SUV;Internal Combustion Engine – Methanol;PE;19.51992487
minivan_SUV;Internal Combustion Engine – Methanol;ABS;29.27988731
minivan_SUV;Internal Combustion Engine – Methanol;PVC;9.759962437
minivan_SUV;Internal Combustion Engine – Methanol;PC;1.951992487
minivan_SUV;Internal Combustion Engine – Methanol;PA/Nylon;15.6159399
minivan_SUV;Internal Combustion Engine – Methanol;PUR;35.13586477
minivan_SUV;Internal Combustion Engine – Methanol;Rubber;19.51992487
