Region;Building type;Age cohort;Insulation product;value
AUT;Hot;2040<;Insulation (Floor);2.4
AUT;Hot;2040<;Insulation (Basement);0
AUT;Edu;>1945;Insulation;3.705263158
AUT;Edu;>1945;Insulation (Exterior wall);0
AUT;Edu;>1945;Insulation (Roof);0
AUT;Edu;>1945;Insulation (Floor);0
AUT;Edu;>1945;Insulation (Basement);0
AUT;Edu;1945-1969;Insulation;5.364210526
AUT;Edu;1945-1969;Insulation (Exterior wall);0
AUT;Edu;1945-1969;Insulation (Roof);0
AUT;Edu;1945-1969;Insulation (Floor);0
AUT;Edu;1945-1969;Insulation (Basement);0
AUT;Edu;1970-1989;Insulation;19.7712
AUT;Edu;1970-1989;Insulation (Exterior wall);0
AUT;Edu;1970-1989;Insulation (Roof);0
AUT;Edu;1970-1989;Insulation (Floor);0
AUT;Edu;1970-1989;Insulation (Basement);0
AUT;Edu;1990-2010;Insulation;13.14272
AUT;Edu;1990-2010;Insulation (Exterior wall);0
AUT;Edu;1990-2010;Insulation (Roof);0
AUT;Edu;1990-2010;Insulation (Floor);0
AUT;Edu;1990-2010;Insulation (Basement);0
AUT;Edu;2011-2020;Insulation;13.14272
AUT;Edu;2011-2020;Insulation (Exterior wall);0
AUT;Edu;2011-2020;Insulation (Roof);0
AUT;Edu;2011-2020;Insulation (Floor);0
AUT;Edu;2011-2020;Insulation (Basement);0
AUT;Edu;2021-2030;Insulation;0
AUT;Edu;2021-2030;Insulation (Exterior wall);8.50272
AUT;Edu;2021-2030;Insulation (Roof);2.24
AUT;Edu;2021-2030;Insulation (Floor);2.4
AUT;Edu;2021-2030;Insulation (Basement);0
AUT;Edu;2031-2040;Insulation;0
AUT;Edu;2031-2040;Insulation (Exterior wall);8.50272
AUT;Edu;2031-2040;Insulation (Roof);2.24
AUT;Edu;2031-2040;Insulation (Floor);2.4
AUT;Edu;2031-2040;Insulation (Basement);0
AUT;Edu;2040<;Insulation;0
AUT;Edu;2040<;Insulation (Exterior wall);8.50272
AUT;Edu;2040<;Insulation (Roof);2.24
AUT;Edu;2040<;Insulation (Floor);2.4
AUT;Edu;2040<;Insulation (Basement);0
AUT;Hea;>1945;Insulation;3.705263158
AUT;Hea;>1945;Insulation (Exterior wall);0
AUT;Hea;>1945;Insulation (Roof);0
AUT;Hea;>1945;Insulation (Floor);0
AUT;Hea;>1945;Insulation (Basement);0
AUT;Hea;1945-1969;Insulation;5.364210526
AUT;Hea;1945-1969;Insulation (Exterior wall);0
AUT;Hea;1945-1969;Insulation (Roof);0
AUT;Hea;1945-1969;Insulation (Floor);0
AUT;Hea;1945-1969;Insulation (Basement);0
AUT;Hea;1970-1989;Insulation;19.7712
AUT;Hea;1970-1989;Insulation (Exterior wall);0
AUT;Hea;1970-1989;Insulation (Roof);0
AUT;Hea;1970-1989;Insulation (Floor);0
AUT;Hea;1970-1989;Insulation (Basement);0
AUT;Hea;1990-2010;Insulation;13.14272
AUT;Hea;1990-2010;Insulation (Exterior wall);0
AUT;Hea;1990-2010;Insulation (Roof);0
AUT;Hea;1990-2010;Insulation (Floor);0
AUT;Hea;1990-2010;Insulation (Basement);0
AUT;Hea;2011-2020;Insulation;13.14272
AUT;Hea;2011-2020;Insulation (Exterior wall);0
AUT;Hea;2011-2020;Insulation (Roof);0
AUT;Hea;2011-2020;Insulation (Floor);0
