Region;Year;Vehicle size;Value
BEL;2049;passenger car;0.65
BEL;2049;minivan_SUV;0.03
BEL;2049;light truck;0.01
BEL;2050;microcar;0.31
BEL;2050;passenger car;0.65
BEL;2050;minivan_SUV;0.03
BEL;2050;light truck;0.01
BGR;2020;microcar;0.146068214
BGR;2020;passenger car;0.57256
BGR;2020;minivan_SUV;0.17784
BGR;2020;light truck;0.103531786
BGR;2021;microcar;0.159361591
BGR;2021;passenger car;0.57883968
BGR;2021;minivan_SUV;0.16585152
BGR;2021;light truck;0.095947209
BGR;2022;microcar;0.172386717
BGR;2022;passenger car;0.58499264
BGR;2022;minivan_SUV;0.15410496
BGR;2022;light truck;0.088515683
BGR;2023;microcar;0.185098882
BGR;2023;passenger car;0.59099776
BGR;2023;minivan_SUV;0.14264064
BGR;2023;light truck;0.081262718
BGR;2024;microcar;0.197453377
BGR;2024;passenger car;0.59683392
BGR;2024;minivan_SUV;0.13149888
BGR;2024;light truck;0.074213823
BGR;2025;microcar;0.209405495
BGR;2025;passenger car;0.60248
BGR;2025;minivan_SUV;0.12072
BGR;2025;light truck;0.067394505
BGR;2026;microcar;0.220910526
BGR;2026;passenger car;0.60791488
BGR;2026;minivan_SUV;0.11034432
BGR;2026;light truck;0.060830274
BGR;2027;microcar;0.231923761
BGR;2027;passenger car;0.61311744
BGR;2027;minivan_SUV;0.10041216
BGR;2027;light truck;0.054546639
BGR;2028;microcar;0.242400492
BGR;2028;passenger car;0.61806656
BGR;2028;minivan_SUV;0.09096384
BGR;2028;light truck;0.048569108
BGR;2029;microcar;0.252296011
BGR;2029;passenger car;0.62274112
BGR;2029;minivan_SUV;0.08203968
BGR;2029;light truck;0.042923189
BGR;2030;microcar;0.261565609
BGR;2030;passenger car;0.62712
BGR;2030;minivan_SUV;0.07368
BGR;2030;light truck;0.037634391
BGR;2031;microcar;0.270164576
BGR;2031;passenger car;0.63118208
BGR;2031;minivan_SUV;0.06592512
BGR;2031;light truck;0.032728224
BGR;2032;microcar;0.278048205
BGR;2032;passenger car;0.63490624
BGR;2032;minivan_SUV;0.05881536
BGR;2032;light truck;0.028230195
BGR;2033;microcar;0.285171786
BGR;2033;passenger car;0.63827136
BGR;2033;minivan_SUV;0.05239104
BGR;2033;light truck;0.024165814
BGR;2034;microcar;0.291490611
BGR;2034;passenger car;0.64125632
BGR;2034;minivan_SUV;0.04669248
BGR;2034;light truck;0.020560589
BGR;2035;microcar;0.296959972
BGR;2035;passenger car;0.64384
BGR;2035;minivan_SUV;0.04176
BGR;2035;light truck;0.017440028
BGR;2036;microcar;0.301535159
BGR;2036;passenger car;0.64600128
BGR;2036;minivan_SUV;0.03763392
BGR;2036;light truck;0.014829641
BGR;2037;microcar;0.305171464
BGR;2037;passenger car;0.64771904
BGR;2037;minivan_SUV;0.03435456
BGR;2037;light truck;0.012754936
BGR;2038;microcar;0.307824178
BGR;2038;passenger car;0.64897216
BGR;2038;minivan_SUV;0.03196224
BGR;2038;light truck;0.011241422
BGR;2039;microcar;0.309448593
BGR;2039;passenger car;0.64973952
BGR;2039;minivan_SUV;0.03049728
BGR;2039;light truck;0.010314607
BGR;2040;microcar;0.31
BGR;2040;passenger car;0.65
BGR;2040;minivan_SUV;0.03
BGR;2040;light truck;0.01
BGR;2041;microcar;0.31
BGR;2041;passenger car;0.65
BGR;2041;minivan_SUV;0.03
BGR;2041;light truck;0.01
BGR;2042;microcar;0.31
BGR;2042;passenger car;0.65
BGR;2042;minivan_SUV;0.03
BGR;2042;light truck;0.01
BGR;2043;microcar;0.31
BGR;2043;passenger car;0.65
BGR;2043;minivan_SUV;0.03
BGR;2043;light truck;0.01
BGR;2044;microcar;0.31
BGR;2044;passenger car;0.65
BGR;2044;minivan_SUV;0.03
BGR;2044;light truck;0.01
BGR;2045;microcar;0.31
BGR;2045;passenger car;0.65
BGR;2045;minivan_SUV;0.03
BGR;2045;light truck;0.01
BGR;2046;microcar;0.31
BGR;2046;passenger car;0.65
BGR;2046;minivan_SUV;0.03
BGR;2046;light truck;0.01
BGR;2047;microcar;0.31
BGR;2047;passenger car;0.65
BGR;2047;minivan_SUV;0.03
BGR;2047;light truck;0.01
BGR;2048;microcar;0.31
BGR;2048;passenger car;0.65
BGR;2048;minivan_SUV;0.03
BGR;2048;light truck;0.01
BGR;2049;microcar;0.31
BGR;2049;passenger car;0.65
BGR;2049;minivan_SUV;0.03
BGR;2049;light truck;0.01
BGR;2050;microcar;0.31
BGR;2050;passenger car;0.65
BGR;2050;minivan_SUV;0.03
BGR;2050;light truck;0.01
CYP;2020;microcar;0.146068214
CYP;2020;passenger car;0.57256
CYP;2020;minivan_SUV;0.17784
