,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
83,EU27+3,2019.25,single-use sheet (tray),PET,Mechanical recycling,All,5,0.21638032092892892
84,EU27+3,2019.25,other,PET,Mechanical recycling,All,0,0.006621621621621621
85,EU27+3,2019.25,other,PET,Mechanical recycling,All,1,0.0052972972972972964
86,EU27+3,2019.25,other,PET,Mechanical recycling,All,2,0.004237837837837838
87,EU27+3,2019.25,other,PET,Mechanical recycling,All,3,0.0033902702702702705
88,EU27+3,2019.25,other,PET,Mechanical recycling,All,4,0.0027122162162162163
89,EU27+3,2019.25,other,PET,Mechanical recycling,All,5,0.010848864864864869
90,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,0,352.45333491410344
91,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,1,84.58880037938482
92,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,2,20.301312091052353
93,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,3,4.872314901852565
94,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,4,1.1693555764446157
95,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,5,0.28064533834670774
96,EU27+3,2019.5,single-use beverage bottles,PET,Mechanical recycling,All,6,0.08862484368843405
97,EU27+3,2019.5,reusable beverage bottles,PET,Mechanical recycling,All,0,1.003405230794916
98,EU27+3,2019.5,reusable beverage bottles,PET,Mechanical recycling,All,1,0.24081725539077975
99,EU27+3,2019.5,reusable beverage bottles,PET,Mechanical recycling,All,2,0.07604755433393044
100,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,0,19.785188603237387
101,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.748445264776972
102,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.1396268635464732
103,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.27351044725115353
104,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06564250734027685
105,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01575420176166644
106,EU27+3,2019.5,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.004975011082631507
107,EU27+3,2019.5,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.07431501079298967
108,EU27+3,2019.5,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.017835602590317523
109,EU27+3,2019.5,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.005632295554837114
110,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
111,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,1,3.2329209209209218
112,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,2,1.4224852052052055
113,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6258934902902904
114,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,4,0.27539313572772783
115,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,5,0.1211729797202002
116,EU27+3,2019.5,single-use sheet (tray),PET,Mechanical recycling,All,6,0.09520734120872874
117,EU27+3,2019.5,other,PET,Mechanical recycling,All,0,0.006621621621621621
118,EU27+3,2019.5,other,PET,Mechanical recycling,All,1,0.005297297297297298
119,EU27+3,2019.5,other,PET,Mechanical recycling,All,2,0.0042378378378378385
120,EU27+3,2019.5,other,PET,Mechanical recycling,All,3,0.0033902702702702714
121,EU27+3,2019.5,other,PET,Mechanical recycling,All,4,0.0027122162162162167
122,EU27+3,2019.5,other,PET,Mechanical recycling,All,5,0.0021697729729729734
123,EU27+3,2019.5,other,PET,Mechanical recycling,All,6,0.008679091891891897
124,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,0,360.3655526366649
125,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,1,86.48773263279956
126,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,2,20.757055831871895
127,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,3,4.981693399649254
128,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,4,1.1956064159158213
129,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,5,0.2869455398197971
130,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06886692955675128
131,EU27+3,2019.75,single-use beverage bottles,PET,Mechanical recycling,All,7,0.0217474514389741
132,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,0,0.9895266633828019
133,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,1,0.23748639921187253
134,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,2,0.05699673581084938
135,EU27+3,2019.75,reusable beverage bottles,PET,Mechanical recycling,All,3,0.01799896920342612
136,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,0,20.215301398959937
137,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.851672335750385
138,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.164401360580092
139,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.2794563265392221
140,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06706951836941329
141,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01609668440865919
142,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.003863204258078204
143,EU27+3,2019.75,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0012199592393931172
144,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.07695162553224347
145,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.01846839012773843
146,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.004432413630657224
147,EU27+3,2019.75,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.0013997095675759657
148,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,0,7.347547547547549
149,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,1,3.2329209209209218
150,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,2,1.4224852052052057
151,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6258934902902904
152,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,4,0.27539313572772783
153,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,5,0.12117297972020023
154,EU27+3,2019.75,single-use sheet (tray),PET,Mechanical recycling,All,6,0.053316111076888086
