region,time,sector,intermediate,product,element,value
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Heavy Sections,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Rail,All,158.8470755
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Rail,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Rebar,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Rebar,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Wire Rod,All,161.4274718
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Wire Rod,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Bar,All,3441.420735
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Bar,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Plate,All,2502.718816
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Plate,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Coil,All,6536.645537
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Coil,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Coil Galvanized,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Coil Galvanized,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Narrow Strip,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Hot Rolled Narrow Strip,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil,All,4046.234235
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil Galvanized,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil Galvanized,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil Organic Coated,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil Organic Coated,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil Tinned,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cold Rolled Coil Tinned,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Electrical Sheet,All,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Electrical Sheet,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Welded Tube,All,4196.952304
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Welded Tube,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Seamless Tube,All,345.078759
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Seamless Tube,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cast Iron,All,1388.822536
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cast Iron,Cu,0
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cast Steel,All,347.0534696
EU27+1,2017,Mechanical Engineering,Steel Intermediary,Cast Steel,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Light Sections,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Light Sections,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Heavy Sections,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Heavy Sections,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Rail,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Rail,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Rebar,All,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Rebar,Cu,0
EU27+1,2017,Miscellaneous,Steel Intermediary,Wire Rod,All,894.9613794
