Time,Region simple,Concrete product simple,End use sector,value
1987,EU28,Transport concrete,Infrastructure,459340567.9871746
1987,EU28,Precast concrete,Buildings,1148732672.149825
1987,EU28,Precast concrete,Infrastructure,459340567.9871746
1988,EU28,Transport concrete,Buildings,1238332622.3135343
1988,EU28,Transport concrete,Infrastructure,495168653.14365834
1988,EU28,Precast concrete,Buildings,1238332622.3135343
1988,EU28,Precast concrete,Infrastructure,495168653.14365834
1989,EU28,Transport concrete,Buildings,1180905157.0918894
1989,EU28,Transport concrete,Infrastructure,472205290.8814831
1989,EU28,Precast concrete,Buildings,1180905157.0918894
1989,EU28,Precast concrete,Infrastructure,472205290.8814831
1990,EU28,Transport concrete,Buildings,1232948325.1784706
1990,EU28,Transport concrete,Infrastructure,493015649.08606356
1990,EU28,Precast concrete,Buildings,1232948325.1784706
1990,EU28,Precast concrete,Infrastructure,493015649.08606356
1991,EU28,Transport concrete,Buildings,1385796358.3411047
1991,EU28,Transport concrete,Infrastructure,554134570.8951302
1991,EU28,Precast concrete,Buildings,1385796358.3411047
1991,EU28,Precast concrete,Infrastructure,554134570.8951302
1992,EU28,Transport concrete,Buildings,1475489386.0542135
1992,EU28,Transport concrete,Infrastructure,589999874.7147956
1992,EU28,Precast concrete,Buildings,1475489386.0542135
1992,EU28,Precast concrete,Infrastructure,589999874.7147956
1993,EU28,Transport concrete,Buildings,1507890222.4498143
1993,EU28,Transport concrete,Infrastructure,602955907.8755503
1993,EU28,Precast concrete,Buildings,1507890222.4498143
1993,EU28,Precast concrete,Infrastructure,602955907.8755503
1994,EU28,Transport concrete,Buildings,1593696117.4904048
1994,EU28,Transport concrete,Infrastructure,637266874.6654379
1994,EU28,Precast concrete,Buildings,1593696117.4904048
1994,EU28,Precast concrete,Infrastructure,637266874.6654379
1995,EU28,Transport concrete,Buildings,1657586883.1294043
1995,EU28,Transport concrete,Infrastructure,662814699.0542321
1995,EU28,Precast concrete,Buildings,1657586883.1294043
1995,EU28,Precast concrete,Infrastructure,662814699.0542321
1996,EU28,Transport concrete,Buildings,1619886565.8961794
1996,EU28,Transport concrete,Infrastructure,647739577.0950063
1996,EU28,Precast concrete,Buildings,1619886565.8961794
1996,EU28,Precast concrete,Infrastructure,647739577.0950063
1997,EU28,Transport concrete,Buildings,1809999084.122928
1997,EU28,Transport concrete,Infrastructure,723759345.8548833
1997,EU28,Precast concrete,Buildings,1809999084.122928
1997,EU28,Precast concrete,Infrastructure,723759345.8548833
1998,EU28,Transport concrete,Buildings,1751727263.5825129
