Region,Building type,Age cohort,Insulation product,value
BGR,Hea,1970-1989,Insulation,19.7712
BGR,Hea,1990-2010,Insulation,13.14272
BGR,Hea,2011-2020,Insulation,13.14272
BGR,Hea,2021-2030,Insulation,13.14272
BGR,Hea,2031-2040,Insulation,13.14272
BGR,Hea,2040<,Insulation,13.14272
BGR,Oth,>1945,Insulation,6.117993154
BGR,Oth,1945-1969,Insulation,6.886787177
BGR,Oth,1970-1989,Insulation,18.62779187
BGR,Oth,1990-2010,Insulation,14.2088052
BGR,Oth,2011-2020,Insulation,12.52119935
BGR,Oth,2021-2030,Insulation,12.52119935
BGR,Oth,2031-2040,Insulation,12.52119935
BGR,Oth,2040<,Insulation,12.52119935
CYP,SFH,>1945,Insulation,5.617556018
CYP,SFH,1945-1969,Insulation,10.94754296
CYP,SFH,1970-1989,Insulation,10.94754296
CYP,SFH,1990-2010,Insulation,20.80717518
CYP,SFH,2011-2020,Insulation,17.75923281
CYP,SFH,2021-2030,Insulation,17.75923281
CYP,SFH,2031-2040,Insulation,17.75923281
CYP,SFH,2040<,Insulation,17.75923281
CYP,MFH,>1945,Insulation,3.424603058
CYP,MFH,1945-1969,Insulation,6.398229701
CYP,MFH,1970-1989,Insulation,5.826015196
CYP,MFH,1990-2010,Insulation,8.210723683
CYP,MFH,2011-2020,Insulation,29.50390381
CYP,MFH,2021-2030,Insulation,29.50390381
CYP,MFH,2031-2040,Insulation,29.50390381
CYP,MFH,2040<,Insulation,29.50390381
CYP,Ret,>1945,Insulation,14.82105263
CYP,Ret,1945-1969,Insulation,0
CYP,Ret,1970-1989,Insulation,0
CYP,Ret,1990-2010,Insulation,0
CYP,Ret,2011-2020,Insulation,0
CYP,Ret,2021-2030,Insulation,0
CYP,Ret,2031-2040,Insulation,0
CYP,Ret,2040<,Insulation,0
CYP,Off,>1945,Insulation,2.778947368
CYP,Off,1945-1969,Insulation,8.336581818
CYP,Off,1970-1989,Insulation,4.96
CYP,Off,1990-2010,Insulation,5.346264
CYP,Off,2011-2020,Insulation,5.346264
CYP,Off,2021-2030,Insulation,5.346264
CYP,Off,2031-2040,Insulation,5.346264
CYP,Off,2040<,Insulation,5.346264
CYP,Hot,>1945,Insulation,2.778947368
CYP,Hot,1945-1969,Insulation,8.336581818
CYP,Hot,1970-1989,Insulation,4.96
CYP,Hot,1990-2010,Insulation,5.346264
CYP,Hot,2011-2020,Insulation,5.346264
CYP,Hot,2021-2030,Insulation,5.346264
CYP,Hot,2031-2040,Insulation,5.346264
CYP,Hot,2040<,Insulation,5.346264
CYP,Edu,>1945,Insulation,2.778947368
CYP,Edu,1945-1969,Insulation,8.336581818
CYP,Edu,1970-1989,Insulation,4.96
CYP,Edu,1990-2010,Insulation,5.346264
CYP,Edu,2011-2020,Insulation,5.346264
CYP,Edu,2021-2030,Insulation,5.346264
CYP,Edu,2031-2040,Insulation,5.346264
CYP,Edu,2040<,Insulation,5.346264
CYP,Hea,>1945,Insulation,2.778947368
CYP,Hea,1945-1969,Insulation,8.336581818
CYP,Hea,1970-1989,Insulation,4.96
CYP,Hea,1990-2010,Insulation,5.346264
CYP,Hea,2011-2020,Insulation,5.346264
CYP,Hea,2021-2030,Insulation,5.346264
CYP,Hea,2031-2040,Insulation,5.346264
CYP,Hea,2040<,Insulation,5.346264
CYP,Oth,>1945,Insulation,6.792982456
CYP,Oth,1945-1969,Insulation,5.557721212
CYP,Oth,1970-1989,Insulation,3.306666667
CYP,Oth,1990-2010,Insulation,3.564176
CYP,Oth,2011-2020,Insulation,3.564176
CYP,Oth,2021-2030,Insulation,3.564176
CYP,Oth,2031-2040,Insulation,3.564176
CYP,Oth,2040<,Insulation,3.564176
CZE,SFH,>1945,Insulation,7.509333333
CZE,SFH,1945-1969,Insulation,9.422919507
CZE,SFH,1970-1989,Insulation,16.21680358
CZE,SFH,1990-2010,Insulation,18.05892114
CZE,SFH,2011-2020,Insulation,17.47326052
CZE,SFH,2021-2030,Insulation,17.47326052
CZE,SFH,2031-2040,Insulation,17.47326052
CZE,SFH,2040<,Insulation,17.47326052
CZE,MFH,>1945,Insulation,3.520352606
CZE,MFH,1945-1969,Insulation,10.13109219
CZE,MFH,1970-1989,Insulation,12.83010603
CZE,MFH,1990-2010,Insulation,12.08391214
CZE,MFH,2011-2020,Insulation,15.17078186
CZE,MFH,2021-2030,Insulation,15.17078186
CZE,MFH,2031-2040,Insulation,15.17078186
CZE,MFH,2040<,Insulation,15.17078186
CZE,Ret,>1945,Insulation,7.065853659
CZE,Ret,1945-1969,Insulation,7.065853659
CZE,Ret,1970-1989,Insulation,32.68195122
CZE,Ret,1990-2010,Insulation,32.68195122
CZE,Ret,2011-2020,Insulation,22.55631613
CZE,Ret,2021-2030,Insulation,22.55631613
CZE,Ret,2031-2040,Insulation,22.55631613
CZE,Ret,2040<,Insulation,22.55631613
CZE,Off,>1945,Insulation,3.705263158
CZE,Off,1945-1969,Insulation,5.364210526
CZE,Off,1970-1989,Insulation,19.7712
CZE,Off,1990-2010,Insulation,13.14272
CZE,Off,2011-2020,Insulation,13.14272
CZE,Off,2021-2030,Insulation,13.14272
CZE,Off,2031-2040,Insulation,13.14272
CZE,Off,2040<,Insulation,13.14272
CZE,Hot,>1945,Insulation,3.705263158
CZE,Hot,1945-1969,Insulation,5.364210526
CZE,Hot,1970-1989,Insulation,19.7712
CZE,Hot,1990-2010,Insulation,13.14272
CZE,Hot,2011-2020,Insulation,13.14272
CZE,Hot,2021-2030,Insulation,13.14272
CZE,Hot,2031-2040,Insulation,13.14272
CZE,Hot,2040<,Insulation,13.14272
CZE,Edu,>1945,Insulation,3.705263158
CZE,Edu,1945-1969,Insulation,5.364210526
CZE,Edu,1970-1989,Insulation,19.7712
CZE,Edu,1990-2010,Insulation,13.14272
CZE,Edu,2011-2020,Insulation,13.14272
CZE,Edu,2021-2030,Insulation,13.14272
CZE,Edu,2031-2040,Insulation,13.14272
CZE,Edu,2040<,Insulation,13.14272
CZE,Hea,>1945,Insulation,3.705263158
CZE,Hea,1945-1969,Insulation,5.364210526
CZE,Hea,1970-1989,Insulation,19.7712
CZE,Hea,1990-2010,Insulation,13.14272
CZE,Hea,2011-2020,Insulation,13.14272
CZE,Hea,2021-2030,Insulation,13.14272
CZE,Hea,2031-2040,Insulation,13.14272
CZE,Hea,2040<,Insulation,13.14272
CZE,Oth,>1945,Insulation,6.117993154
CZE,Oth,1945-1969,Insulation,6.886787177
CZE,Oth,1970-1989,Insulation,18.62779187
CZE,Oth,1990-2010,Insulation,14.2088052
CZE,Oth,2011-2020,Insulation,12.52119935
CZE,Oth,2021-2030,Insulation,12.52119935
CZE,Oth,2031-2040,Insulation,12.52119935
CZE,Oth,2040<,Insulation,12.52119935
DEU,SFH,>1945,Insulation,7.509333333
DEU,SFH,1945-1969,Insulation,9.422919507
DEU,SFH,1970-1989,Insulation,16.21680358
DEU,SFH,1990-2010,Insulation,18.05892114
DEU,SFH,2011-2020,Insulation,17.47326052
DEU,SFH,2021-2030,Insulation,17.47326052
DEU,SFH,2031-2040,Insulation,17.47326052
DEU,SFH,2040<,Insulation,17.47326052
DEU,MFH,>1945,Insulation,3.520352606
DEU,MFH,1945-1969,Insulation,10.13109219
DEU,MFH,1970-1989,Insulation,12.83010603
DEU,MFH,1990-2010,Insulation,12.08391214
DEU,MFH,2011-2020,Insulation,15.17078186
DEU,MFH,2021-2030,Insulation,15.17078186
DEU,MFH,2031-2040,Insulation,15.17078186
DEU,MFH,2040<,Insulation,15.17078186
DEU,Ret,>1945,Insulation,7.065853659
DEU,Ret,1945-1969,Insulation,7.065853659
DEU,Ret,1970-1989,Insulation,32.68195122
DEU,Ret,1990-2010,Insulation,32.68195122
DEU,Ret,2011-2020,Insulation,22.55631613
DEU,Ret,2021-2030,Insulation,22.55631613
DEU,Ret,2031-2040,Insulation,22.55631613
DEU,Ret,2040<,Insulation,22.55631613
DEU,Off,>1945,Insulation,3.705263158
DEU,Off,1945-1969,Insulation,5.364210526
DEU,Off,1970-1989,Insulation,19.7712
DEU,Off,1990-2010,Insulation,13.14272
DEU,Off,2011-2020,Insulation,13.14272
DEU,Off,2021-2030,Insulation,13.14272
DEU,Off,2031-2040,Insulation,13.14272
DEU,Off,2040<,Insulation,13.14272
DEU,Hot,>1945,Insulation,3.705263158
DEU,Hot,1945-1969,Insulation,5.364210526
DEU,Hot,1970-1989,Insulation,19.7712
DEU,Hot,1990-2010,Insulation,13.14272
DEU,Hot,2011-2020,Insulation,13.14272
DEU,Hot,2021-2030,Insulation,13.14272
DEU,Hot,2031-2040,Insulation,13.14272
DEU,Hot,2040<,Insulation,13.14272
DEU,Edu,>1945,Insulation,3.705263158
DEU,Edu,1945-1969,Insulation,5.364210526
DEU,Edu,1970-1989,Insulation,19.7712
DEU,Edu,1990-2010,Insulation,13.14272
DEU,Edu,2011-2020,Insulation,13.14272
DEU,Edu,2021-2030,Insulation,13.14272
DEU,Edu,2031-2040,Insulation,13.14272
DEU,Edu,2040<,Insulation,13.14272
DEU,Hea,>1945,Insulation,3.705263158
DEU,Hea,1945-1969,Insulation,5.364210526
DEU,Hea,1970-1989,Insulation,19.7712
DEU,Hea,1990-2010,Insulation,13.14272
DEU,Hea,2011-2020,Insulation,13.14272
DEU,Hea,2021-2030,Insulation,13.14272
DEU,Hea,2031-2040,Insulation,13.14272
DEU,Hea,2040<,Insulation,13.14272
DEU,Oth,>1945,Insulation,6.117993154
DEU,Oth,1945-1969,Insulation,6.886787177
DEU,Oth,1970-1989,Insulation,18.62779187
DEU,Oth,1990-2010,Insulation,14.2088052
DEU,Oth,2011-2020,Insulation,12.52119935
DEU,Oth,2021-2030,Insulation,12.52119935
DEU,Oth,2031-2040,Insulation,12.52119935
DEU,Oth,2040<,Insulation,12.52119935
DNK,SFH,>1945,Insulation,0
DNK,SFH,1945-1969,Insulation,0
DNK,SFH,1970-1989,Insulation,0
DNK,SFH,1990-2010,Insulation,0
DNK,SFH,2011-2020,Insulation,0
DNK,SFH,2021-2030,Insulation,0
DNK,SFH,2031-2040,Insulation,0
DNK,SFH,2040<,Insulation,0
DNK,MFH,>1945,Insulation,0
DNK,MFH,1945-1969,Insulation,0
DNK,MFH,1970-1989,Insulation,0
DNK,MFH,1990-2010,Insulation,0
DNK,MFH,2011-2020,Insulation,0
DNK,MFH,2021-2030,Insulation,0
DNK,MFH,2031-2040,Insulation,0
DNK,MFH,2040<,Insulation,0
DNK,Ret,>1945,Insulation,0
DNK,Ret,1945-1969,Insulation,0
DNK,Ret,1970-1989,Insulation,0
DNK,Ret,1990-2010,Insulation,0
DNK,Ret,2011-2020,Insulation,0
DNK,Ret,2021-2030,Insulation,0
DNK,Ret,2031-2040,Insulation,0
DNK,Ret,2040<,Insulation,0
DNK,Off,>1945,Insulation,0
DNK,Off,1945-1969,Insulation,0
DNK,Off,1970-1989,Insulation,0
DNK,Off,1990-2010,Insulation,0
DNK,Off,2011-2020,Insulation,0
DNK,Off,2021-2030,Insulation,0
DNK,Off,2031-2040,Insulation,0
DNK,Off,2040<,Insulation,0
DNK,Hot,>1945,Insulation,0
DNK,Hot,1945-1969,Insulation,0
DNK,Hot,1970-1989,Insulation,0
DNK,Hot,1990-2010,Insulation,0
DNK,Hot,2011-2020,Insulation,0
DNK,Hot,2021-2030,Insulation,0
DNK,Hot,2031-2040,Insulation,0
DNK,Hot,2040<,Insulation,0
DNK,Edu,>1945,Insulation,0
DNK,Edu,1945-1969,Insulation,0
DNK,Edu,1970-1989,Insulation,0
DNK,Edu,1990-2010,Insulation,0
DNK,Edu,2011-2020,Insulation,0
DNK,Edu,2021-2030,Insulation,0
DNK,Edu,2031-2040,Insulation,0
DNK,Edu,2040<,Insulation,0
DNK,Hea,>1945,Insulation,0
DNK,Hea,1945-1969,Insulation,0
DNK,Hea,1970-1989,Insulation,0
DNK,Hea,1990-2010,Insulation,0
DNK,Hea,2011-2020,Insulation,0
DNK,Hea,2021-2030,Insulation,0
DNK,Hea,2031-2040,Insulation,0
DNK,Hea,2040<,Insulation,0
DNK,Oth,>1945,Insulation,0
DNK,Oth,1945-1969,Insulation,0
DNK,Oth,1970-1989,Insulation,0
DNK,Oth,1990-2010,Insulation,0
DNK,Oth,2011-2020,Insulation,0
DNK,Oth,2021-2030,Insulation,0
DNK,Oth,2031-2040,Insulation,0
DNK,Oth,2040<,Insulation,0
ESP,SFH,>1945,Insulation,5.617556018
ESP,SFH,1945-1969,Insulation,10.94754296
ESP,SFH,1970-1989,Insulation,10.94754296
ESP,SFH,1990-2010,Insulation,20.80717518
ESP,SFH,2011-2020,Insulation,17.75923281
ESP,SFH,2021-2030,Insulation,17.75923281
ESP,SFH,2031-2040,Insulation,17.75923281
ESP,SFH,2040<,Insulation,17.75923281
