"region","time","sector","intermediary_product","product","element","value"
"EU27+1",1946,"Construction","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Electrical Sheet","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Welded Tube","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Seamless Tube","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cast Iron","Cu",0
"EU27+1",1946,"Construction","Steel Intermediary","Cast Steel","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Light Sections","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Heavy Sections","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rail","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rebar","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Wire Rod","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Bar","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Plate","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Narrow Strip","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Galvanized","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Tinned","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Electrical Sheet","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Welded Tube","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Seamless Tube","Cu",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Iron","Cu",0
