region,sector,polymer,value
East,PET other packaging,PUR,0.2
East,PET other packaging,Other Plastics,0.2
East,PUR boards and panels rigid foam,"PE-LD, -LLD",65.0
East,PUR boards and panels rigid foam,"PE-HD, -MD",65.0
East,PUR boards and panels rigid foam,PP,65.0
East,PUR boards and panels rigid foam,PS,65.0
East,PUR boards and panels rigid foam,PS-E,65.0
East,PUR boards and panels rigid foam,PVC,65.0
East,PUR boards and panels rigid foam,PET,65.0
East,PUR boards and panels rigid foam,"ABS, SAN",65.0
East,PUR boards and panels rigid foam,PMMA,65.0
East,PUR boards and panels rigid foam,"PA (PA6, PA66)",65.0
East,PUR boards and panels rigid foam,PC,65.0
East,PUR boards and panels rigid foam,Other Thermoplastics,65.0
East,PUR boards and panels rigid foam,PUR,65.0
East,PUR boards and panels rigid foam,Other Plastics,65.0
East,PUR moulded automotive,"PE-LD, -LLD",24.0
East,PUR moulded automotive,"PE-HD, -MD",24.0
East,PUR moulded automotive,PP,24.0
East,PUR moulded automotive,PS,24.0
East,PUR moulded automotive,PS-E,24.0
East,PUR moulded automotive,PVC,24.0
East,PUR moulded automotive,PET,24.0
East,PUR moulded automotive,"ABS, SAN",24.0
East,PUR moulded automotive,PMMA,24.0
East,PUR moulded automotive,"PA (PA6, PA66)",24.0
East,PUR moulded automotive,PC,24.0
East,PUR moulded automotive,Other Thermoplastics,24.0
East,PUR moulded automotive,PUR,24.0
East,PUR moulded automotive,Other Plastics,24.0
East,PUR moulded furniture,"PE-LD, -LLD",10.0
East,PUR moulded furniture,"PE-HD, -MD",10.0
East,PUR moulded furniture,PP,10.0
East,PUR moulded furniture,PS,10.0
East,PUR moulded furniture,PS-E,10.0
East,PUR moulded furniture,PVC,10.0
East,PUR moulded furniture,PET,10.0
East,PUR moulded furniture,"ABS, SAN",10.0
East,PUR moulded furniture,PMMA,10.0
East,PUR moulded furniture,"PA (PA6, PA66)",10.0
East,PUR moulded furniture,PC,10.0
East,PUR moulded furniture,Other Thermoplastics,10.0
East,PUR moulded furniture,PUR,10.0
East,PUR moulded furniture,Other Plastics,10.0
East,PUR others in Automotive,"PE-LD, -LLD",24.0
East,PUR others in Automotive,"PE-HD, -MD",24.0
East,PUR others in Automotive,PP,24.0
East,PUR others in Automotive,PS,24.0
East,PUR others in Automotive,PS-E,24.0
East,PUR others in Automotive,PVC,24.0
East,PUR others in Automotive,PET,24.0
East,PUR others in Automotive,"ABS, SAN",24.0
East,PUR others in Automotive,PMMA,24.0
East,PUR others in Automotive,"PA (PA6, PA66)",24.0
East,PUR others in Automotive,PC,24.0
East,PUR others in Automotive,Other Thermoplastics,24.0
East,PUR others in Automotive,PUR,24.0
East,PUR others in Automotive,Other Plastics,24.0
East,PUR others in Others,"PE-LD, -LLD",10.0
East,PUR others in Others,"PE-HD, -MD",10.0
East,PUR others in Others,PP,10.0
East,PUR others in Others,PS,10.0
East,PUR others in Others,PS-E,10.0
East,PUR others in Others,PVC,10.0
East,PUR others in Others,PET,10.0
East,PUR others in Others,"ABS, SAN",10.0
East,PUR others in Others,PMMA,10.0
East,PUR others in Others,"PA (PA6, PA66)",10.0
East,PUR others in Others,PC,10.0
East,PUR others in Others,Other Thermoplastics,10.0
East,PUR others in Others,PUR,10.0
East,PUR others in Others,Other Plastics,10.0
East,PUR rigid spray foam,"PE-LD, -LLD",65.0
East,PUR rigid spray foam,"PE-HD, -MD",65.0
East,PUR rigid spray foam,PP,65.0
East,PUR rigid spray foam,PS,65.0
East,PUR rigid spray foam,PS-E,65.0
East,PUR rigid spray foam,PVC,65.0
East,PUR rigid spray foam,PET,65.0
East,PUR rigid spray foam,"ABS, SAN",65.0
East,PUR rigid spray foam,PMMA,65.0
East,PUR rigid spray foam,"PA (PA6, PA66)",65.0
East,PUR rigid spray foam,PC,65.0
East,PUR rigid spray foam,Other Thermoplastics,65.0
East,PUR rigid spray foam,PUR,65.0
East,PUR rigid spray foam,Other Plastics,65.0
East,PUR slabstock furniture,"PE-LD, -LLD",10.0
East,PUR slabstock furniture,"PE-HD, -MD",10.0
East,PUR slabstock furniture,PP,10.0
East,PUR slabstock furniture,PS,10.0
East,PUR slabstock furniture,PS-E,10.0
East,PUR slabstock furniture,PVC,10.0
East,PUR slabstock furniture,PET,10.0
East,PUR slabstock furniture,"ABS, SAN",10.0
East,PUR slabstock furniture,PMMA,10.0
East,PUR slabstock furniture,"PA (PA6, PA66)",10.0
East,PUR slabstock furniture,PC,10.0
East,PUR slabstock furniture,Other Thermoplastics,10.0
East,PUR slabstock furniture,PUR,10.0
East,PUR slabstock furniture,Other Plastics,10.0
East,PUR slabstock mattresses,"PE-LD, -LLD",10.0
East,PUR slabstock mattresses,"PE-HD, -MD",10.0
East,PUR slabstock mattresses,PP,10.0
East,PUR slabstock mattresses,PS,10.0
East,PUR slabstock mattresses,PS-E,10.0
East,PUR slabstock mattresses,PVC,10.0
East,PUR slabstock mattresses,PET,10.0
East,PUR slabstock mattresses,"ABS, SAN",10.0
East,PUR slabstock mattresses,PMMA,10.0
East,PUR slabstock mattresses,"PA (PA6, PA66)",10.0
East,PUR slabstock mattresses,PC,10.0
East,PUR slabstock mattresses,Other Thermoplastics,10.0
East,PUR slabstock mattresses,PUR,10.0
East,PUR slabstock mattresses,Other Plastics,10.0
East,PVC others in B&C,"PE-LD, -LLD",10.0
East,PVC others in B&C,"PE-HD, -MD",10.0
East,PVC others in B&C,PP,10.0
East,PVC others in B&C,PS,10.0
East,PVC others in B&C,PS-E,10.0
East,PVC others in B&C,PVC,10.0
East,PVC others in B&C,PET,10.0
East,PVC others in B&C,"ABS, SAN",10.0
East,PVC others in B&C,PMMA,10.0
East,PVC others in B&C,"PA (PA6, PA66)",10.0
East,PVC others in B&C,PC,10.0
East,PVC others in B&C,Other Thermoplastics,10.0
East,PVC others in B&C,PUR,10.0
East,PVC others in B&C,Other Plastics,10.0
East,PVC pipes,"PE-LD, -LLD",80.0
East,PVC pipes,"PE-HD, -MD",80.0
East,PVC pipes,PP,80.0
East,PVC pipes,PS,80.0
East,PVC pipes,PS-E,80.0
East,PVC pipes,PVC,80.0
East,PVC pipes,PET,80.0
East,PVC pipes,"ABS, SAN",80.0
East,PVC pipes,PMMA,80.0
East,PVC pipes,"PA (PA6, PA66)",80.0
East,PVC pipes,PC,80.0
East,PVC pipes,Other Thermoplastics,80.0
East,PVC pipes,PUR,80.0
East,PVC pipes,Other Plastics,80.0
East,PVC profiles,"PE-LD, -LLD",40.0
East,PVC profiles,"PE-HD, -MD",40.0
East,PVC profiles,PP,40.0
East,PVC profiles,PS,40.0
East,PVC profiles,PS-E,40.0
East,PVC profiles,PVC,40.0
East,PVC profiles,PET,40.0
East,PVC profiles,"ABS, SAN",40.0
East,PVC profiles,PMMA,40.0
East,PVC profiles,"PA (PA6, PA66)",40.0
East,PVC profiles,PC,40.0
East,PVC profiles,Other Thermoplastics,40.0
East,PVC profiles,PUR,40.0
East,PVC profiles,Other Plastics,40.0
EU27+3,Agriculture,"PE-LD, -LLD",3.0
EU27+3,Agriculture,"PE-HD, -MD",3.0
EU27+3,Agriculture,PP,3.0
EU27+3,Agriculture,PS,3.0
EU27+3,Agriculture,PS-E,3.0
EU27+3,Agriculture,PVC,3.0
EU27+3,Agriculture,PET,3.0
EU27+3,Agriculture,"ABS, SAN",3.0
EU27+3,Agriculture,PMMA,3.0
EU27+3,Agriculture,"PA (PA6, PA66)",3.0
EU27+3,Agriculture,PC,3.0
EU27+3,Agriculture,Other Thermoplastics,3.0
EU27+3,Agriculture,PUR,3.0
EU27+3,Agriculture,Other Plastics,3.0
EU27+3,Automotive,"PE-HD, -MD",17.9
EU27+3,Automotive,PP,17.9
EU27+3,Automotive,PS,17.9
EU27+3,Automotive,PS-E,17.9
EU27+3,Automotive,PVC,17.9
EU27+3,Automotive,PET,17.9
EU27+3,Automotive,"ABS, SAN",17.9
EU27+3,Automotive,PMMA,17.9
EU27+3,Automotive,"PA (PA6, PA66)",17.9
EU27+3,Automotive,PC,17.9
EU27+3,Automotive,Other Thermoplastics,17.9
EU27+3,Automotive,PUR,17.9
EU27+3,Automotive,Other Plastics,17.9
EU27+3,Automotive,"PE-LD, -LLD",17.9
EU27+3,Building and Construction,Other Plastics,47.0
EU27+3,Building and Construction,PUR,47.0
EU27+3,Building and Construction,"PE-LD, -LLD",47.0
EU27+3,Building and Construction,"PE-HD, -MD",47.0
EU27+3,Building and Construction,PP,47.0
EU27+3,Building and Construction,PS,47.0
EU27+3,Building and Construction,PS-E,47.0
EU27+3,Building and Construction,PVC,47.0
EU27+3,Building and Construction,PET,47.0
EU27+3,Building and Construction,"ABS, SAN",47.0
EU27+3,Building and Construction,PMMA,47.0
EU27+3,Building and Construction,"PA (PA6, PA66)",47.0
EU27+3,Building and Construction,PC,47.0
EU27+3,Building and Construction,Other Thermoplastics,47.0
EU27+3,Commercial & industrial packaging,"PE-LD, -LLD",0.2
EU27+3,Commercial & industrial packaging,"PE-HD, -MD",0.2
EU27+3,Commercial & industrial packaging,PP,0.2
EU27+3,Commercial & industrial packaging,PS-E,0.2
EU27+3,Commercial & industrial packaging,PVC,0.2
EU27+3,Commercial & industrial packaging,PET,0.2
EU27+3,Commercial & industrial packaging,PS,0.2
EU27+3,Commercial & industrial packaging,PMMA,0.2
EU27+3,Commercial & industrial packaging,"PA (PA6, PA66)",0.2
EU27+3,Commercial & industrial packaging,PC,0.2
EU27+3,Commercial & industrial packaging,"ABS, SAN",0.2
EU27+3,Commercial & industrial packaging,PUR,0.2
EU27+3,Commercial & industrial packaging,Other Plastics,0.2
EU27+3,Commercial & industrial packaging,Other Thermoplastics,0.2
EU27+3,Electrical and Electronics,"PE-LD, -LLD",13.4
EU27+3,Electrical and Electronics,PP,13.4
EU27+3,Electrical and Electronics,PS,13.4
EU27+3,Electrical and Electronics,PS-E,13.4
EU27+3,Electrical and Electronics,PVC,13.4
EU27+3,Electrical and Electronics,PET,13.4
EU27+3,Electrical and Electronics,"ABS, SAN",13.4
EU27+3,Electrical and Electronics,PMMA,13.4
EU27+3,Electrical and Electronics,"PA (PA6, PA66)",13.4
EU27+3,Electrical and Electronics,PC,13.4
EU27+3,Electrical and Electronics,Other Thermoplastics,13.4
EU27+3,Electrical and Electronics,PUR,13.4
EU27+3,Electrical and Electronics,Other Plastics,13.4
EU27+3,Electrical and Electronics,"PE-HD, -MD",13.4
EU27+3,EPS ETICS,"PE-LD, -LLD",65.0
EU27+3,EPS ETICS,"PE-HD, -MD",65.0
