,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
215,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.1793885536168482
216,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.2830662356200513
217,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.0679358965488123
218,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01630461517171495
219,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.003913107641211586
220,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0009391458338907808
221,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.1625673133332306
222,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.03901615519997534
223,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.009363877247994083
224,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.0022473305395185796
225,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,4,0.0005393593294844592
226,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,5,0.00012944623907627025
227,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,6,4.0877759708295854e-05
228,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
229,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,1,3.1065471370452844
230,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3693368960152654
231,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6044380708801985
232,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,4,0.26595275118728734
233,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,5,0.11701921052240644
234,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,6,0.05148845262985883
235,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,7,0.022654919157137892
236,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,0,373.2749958440171
237,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,1,89.58912218795
238,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,2,21.502138889600612
239,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,3,5.160693228982375
240,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,4,1.2386231840541577
241,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,5,0.2972695641729977
242,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,6,0.07134469540151944
243,EU27+3,2020.75,single-use beverage bottles,PET,Mechanical recycling,All,7,0.01712272689636466
244,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,0,1.753561056326142
245,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,1,0.4208546535182741
246,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,2,0.10100511684438579
247,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,3,0.0242412280426526
248,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,4,0.0058178947302366165
249,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,5,0.001396294735256789
250,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,6,0.00033511073646162926
251,EU27+3,2020.75,reusable beverage bottles,PET,Mechanical recycling,All,7,0.00010582444309314603
252,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,0,20.883549585264152
253,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,1,5.01222663275888
254,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.2029763276130474
255,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.28872438320735117
256,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06929703025825475
257,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01663128726198114
258,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.003991508942875473
259,EU27+3,2020.75,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0009579621462901132
260,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.16793467497762005
261,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.04030432199462882
262,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.009673037278710914
263,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.0023215289468906204
264,EU27+3,2020.75,reusable non-beverage bottles,PET,Mechanical recycling,All,4,0.0005571669472537487
