Region,Time,Vehicle size,Value
BGR,2022,passenger car,0.5604511999999999
BGR,2022,light truck,0.09260592317014146
BGR,2022,minivan_SUV,0.26863168
BGR,2023,microcar,0.07846720171442975
BGR,2023,passenger car,0.5631808
BGR,2023,light truck,0.08589887828557027
BGR,2023,minivan_SUV,0.27245312
BGR,2024,microcar,0.07861881724703178
BGR,2024,passenger car,0.5658335999999999
BGR,2024,light truck,0.07938054275296823
BGR,2024,minivan_SUV,0.27616704
BGR,2025,microcar,0.0787654947586685
BGR,2025,passenger car,0.5684
BGR,2025,light truck,0.0730745052413315
BGR,2025,minivan_SUV,0.27976
BGR,2026,microcar,0.07890668558034375
BGR,2026,passenger car,0.5708704
BGR,2026,light truck,0.06700435441965627
BGR,2026,minivan_SUV,0.28321856
BGR,2027,microcar,0.07904184104306138
BGR,2027,passenger car,0.5732352
BGR,2027,light truck,0.06119367895693864
BGR,2027,minivan_SUV,0.28652928
BGR,2028,microcar,0.07917041247782523
BGR,2028,passenger car,0.5754847999999999
BGR,2028,light truck,0.0556660675221748
BGR,2028,minivan_SUV,0.2896787199999999
BGR,2029,microcar,0.07929185121563917
BGR,2029,passenger car,0.5776096
BGR,2029,light truck,0.05044510878436086
BGR,2029,minivan_SUV,0.29265344
BGR,2030,microcar,0.07940560858750706
BGR,2030,passenger car,0.5795999999999999
BGR,2030,light truck,0.04555439141249299
BGR,2030,minivan_SUV,0.29544
BGR,2031,microcar,0.07951113592443274
BGR,2031,passenger car,0.5814463999999999
BGR,2031,light truck,0.04101750407556732
BGR,2031,minivan_SUV,0.29802496
BGR,2032,microcar,0.07960788455742004
BGR,2032,passenger car,0.5831392
BGR,2032,light truck,0.03685803544258002
BGR,2032,minivan_SUV,0.30039488
BGR,2033,microcar,0.07969530581747285
BGR,2033,passenger car,0.5846688
BGR,2033,light truck,0.03309957418252721
BGR,2033,minivan_SUV,0.30253632
BGR,2034,microcar,0.079772851035595
BGR,2034,passenger car,0.5860255999999999
BGR,2034,light truck,0.02976570896440506
BGR,2034,minivan_SUV,0.30443584
BGR,2035,microcar,0.07983997154279036
BGR,2035,passenger car,0.5871999999999999
BGR,2035,light truck,0.0268800284572097
BGR,2035,minivan_SUV,0.30608
BGR,2036,microcar,0.07989611867006277
BGR,2036,passenger car,0.5881824
BGR,2036,light truck,0.02446612132993729
BGR,2036,minivan_SUV,0.30745536
BGR,2037,microcar,0.07994074374841609
BGR,2037,passenger car,0.5889632
BGR,2037,light truck,0.02254757625158399
BGR,2037,minivan_SUV,0.30854848
BGR,2038,microcar,0.07997329810885416
BGR,2038,passenger car,0.5895328
BGR,2038,light truck,0.02114798189114591
BGR,2038,minivan_SUV,0.30934592
BGR,2039,microcar,0.07999323308238085
BGR,2039,passenger car,0.5898815999999999
BGR,2039,light truck,0.02029092691761922
