"region","sector","product","polymer","value"
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108340 - Yarn containing < 85 % by weight of synthetic staple fibres (other than sewing thread), mixed with cotton, n.p.r.s.","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108380 - Other yarns, containing < 85 % by weight of synthetic staple fibres (other than sewing thread), n.p.r.s., n.e.c.","Thermosets",5
