"region","time","sector","polymer","element","value"
"EU27+3",2030.25,"reusable beverage bottles","PET","All",7
"EU27+3",2030.5,"reusable beverage bottles","PET","All",7
"EU27+3",2030.75,"reusable beverage bottles","PET","All",7
"EU27+3",2031,"reusable beverage bottles","PET","All",7
"EU27+3",2031.25,"reusable beverage bottles","PET","All",7
"EU27+3",2031.5,"reusable beverage bottles","PET","All",7
"EU27+3",2031.75,"reusable beverage bottles","PET","All",7
"EU27+3",2032,"reusable beverage bottles","PET","All",7
"EU27+3",2032.25,"reusable beverage bottles","PET","All",7
"EU27+3",2032.5,"reusable beverage bottles","PET","All",7
"EU27+3",2032.75,"reusable beverage bottles","PET","All",7
"EU27+3",2033,"reusable beverage bottles","PET","All",7
"EU27+3",2033.25,"reusable beverage bottles","PET","All",7
"EU27+3",2033.5,"reusable beverage bottles","PET","All",7
"EU27+3",2033.75,"reusable beverage bottles","PET","All",7
"EU27+3",2034,"reusable beverage bottles","PET","All",7
"EU27+3",2034.25,"reusable beverage bottles","PET","All",7
"EU27+3",2034.5,"reusable beverage bottles","PET","All",7
"EU27+3",2034.75,"reusable beverage bottles","PET","All",7
"EU27+3",2035,"reusable beverage bottles","PET","All",7
"EU27+3",2035.25,"reusable beverage bottles","PET","All",7
"EU27+3",2035.5,"reusable beverage bottles","PET","All",7
"EU27+3",2035.75,"reusable beverage bottles","PET","All",7
"EU27+3",2036,"reusable beverage bottles","PET","All",7
"EU27+3",2036.25,"reusable beverage bottles","PET","All",7
"EU27+3",2036.5,"reusable beverage bottles","PET","All",7
"EU27+3",2036.75,"reusable beverage bottles","PET","All",7
"EU27+3",2037,"reusable beverage bottles","PET","All",7
"EU27+3",2037.25,"reusable beverage bottles","PET","All",7
"EU27+3",2037.5,"reusable beverage bottles","PET","All",7
"EU27+3",2037.75,"reusable beverage bottles","PET","All",7
"EU27+3",2038,"reusable beverage bottles","PET","All",7
"EU27+3",2038.25,"reusable beverage bottles","PET","All",7
"EU27+3",2038.5,"reusable beverage bottles","PET","All",7
"EU27+3",2038.75,"reusable beverage bottles","PET","All",7
"EU27+3",2039,"reusable beverage bottles","PET","All",7
"EU27+3",2039.25,"reusable beverage bottles","PET","All",7
"EU27+3",2039.5,"reusable beverage bottles","PET","All",7
"EU27+3",2039.75,"reusable beverage bottles","PET","All",7
"EU27+3",2040,"reusable beverage bottles","PET","All",7
"EU27+3",2040.25,"reusable beverage bottles","PET","All",7
"EU27+3",2040.5,"reusable beverage bottles","PET","All",7
"EU27+3",2040.75,"reusable beverage bottles","PET","All",7
"EU27+3",2041,"reusable beverage bottles","PET","All",7
"EU27+3",2041.25,"reusable beverage bottles","PET","All",7
"EU27+3",2041.5,"reusable beverage bottles","PET","All",7
"EU27+3",2041.75,"reusable beverage bottles","PET","All",7
"EU27+3",2042,"reusable beverage bottles","PET","All",7
"EU27+3",2042.25,"reusable beverage bottles","PET","All",7
"EU27+3",2042.5,"reusable beverage bottles","PET","All",7
"EU27+3",2042.75,"reusable beverage bottles","PET","All",7
"EU27+3",2043,"reusable beverage bottles","PET","All",7
"EU27+3",2043.25,"reusable beverage bottles","PET","All",7
"EU27+3",2043.5,"reusable beverage bottles","PET","All",7
"EU27+3",2043.75,"reusable beverage bottles","PET","All",7
"EU27+3",2044,"reusable beverage bottles","PET","All",7
"EU27+3",2044.25,"reusable beverage bottles","PET","All",7
