"code","region","time","sector","polymer","element","value","","nb of product","","reusable share","","SU + RU"
"2018single-use sheet (tray)","EU27+3",2018,"single-use sheet (tray)","PET","All",1006.8068068068068,"",48943017199.30031,"",0,"",48943017199.30031
"2019single-use sheet (tray)","EU27+3",2019,"single-use sheet (tray)","PET","All",1049.6496496496497,"",51025698782.24927,"",0,"",51025698782.24927
"2020single-use sheet (tray)","EU27+3",2020,"single-use sheet (tray)","PET","All",1006.8068068068068,"",48943017199.30031,"",0,"",48943017199.30031
"2021single-use sheet (tray)","EU27+3",2021,"single-use sheet (tray)","PET","All",1049.6496496496497,"",51025698782.24927,"",0,"",51025698782.24927
"2022single-use sheet (tray)","EU27+3",2022,"single-use sheet (tray)","PET","All",1070,"",52014972534.15001,"",0,"",52014972534.15001
"2023single-use sheet (tray)","EU27+3",2023,"single-use sheet (tray)","PET","All",1073.945625,"",52206777745.36969,"",0.00625,"",52535122259.49151
"2024single-use sheet (tray)","EU27+3",2024,"single-use sheet (tray)","PET","All",1077.8631625,"",52397217563.56035,"",0.0125,"",53060473482.086426
"2025single-use sheet (tray)","EU27+3",2025,"single-use sheet (tray)","PET","All",1081.7516561874997,"",52586245500.34027,"",0.018750000000000003,"",53591078216.90729
"2026single-use sheet (tray)","EU27+3",2026,"single-use sheet (tray)","PET","All",1085.6101334324999,"",52773814274.09945,"",0.025,"",54126988999.07636
"2027single-use sheet (tray)","EU27+3",2027,"single-use sheet (tray)","PET","All",1089.4376050567812,"",52959875798.783775,"",0.03125,"",54668258889.06712
"2028single-use sheet (tray)","EU27+3",2028,"single-use sheet (tray)","PET","All",1093.2330651002048,"",53144381172.53438,"",0.037500000000000006,"",55214941477.957794
"2029single-use sheet (tray)","EU27+3",2029,"single-use sheet (tray)","PET","All",1096.9954905839913,"",53327280666.180115,"",0.043750000000000004,"",55767090892.73737
"2030single-use sheet (tray)","EU27+3",2030,"single-use sheet (tray)","PET","All",1100.7238412709435,"",53508523711.58151,"",0.05,"",56324761801.66475
"2031single-use sheet (tray)","EU27+3",2031,"single-use sheet (tray)","PET","All",1102.954255370361,"",53616948878.04971,"",0.0575,"",56888009419.6814
"2032single-use sheet (tray)","EU27+3",2032,"single-use sheet (tray)","PET","All",1105.1192053676396,"",53722191695.47613,"",0.065,"",57456889513.87821
"2033single-use sheet (tray)","EU27+3",2033,"single-use sheet (tray)","PET","All",1107.217158939327,"",53824177674.363266,"",0.07250000000000001,"",58031458409.017
"2034single-use sheet (tray)","EU27+3",2034,"single-use sheet (tray)","PET","All",1109.2465596619113,"",53922831153.6586,"",0.08,"",58611772993.10717
"2035single-use sheet (tray)","EU27+3",2035,"single-use sheet (tray)","PET","All",1111.205826683053,"",54018075284.77239,"",0.0875,"",59197890723.03824
"2036single-use sheet (tray)","EU27+3",2036,"single-use sheet (tray)","PET","All",1113.0933543886517,"",54109832015.393105,"",0.095,"",59789869630.26862
"2037single-use sheet (tray)","EU27+3",2037,"single-use sheet (tray)","PET","All",1114.907512065694,"",54198022073.09775,"",0.10250000000000001,"",60387768326.57131
"2038single-use sheet (tray)","EU27+3",2038,"single-use sheet (tray)","PET","All",1116.6466435608384,"",54282564948.75496,"",0.11,"",60991646009.83703
"2039single-use sheet (tray)","EU27+3",2039,"single-use sheet (tray)","PET","All",1118.3090669346789,"",54363378879.71799,"",0.11750000000000001,"",61601562469.9354
"2040single-use sheet (tray)","EU27+3",2040,"single-use sheet (tray)","PET","All",1119.8930741116403,"",54440380832.80541,"",0.125,"",62217578094.63476
"2041single-use sheet (tray)","EU27+3",2041,"single-use sheet (tray)","PET","All",1114.9335476405745,"",54199287717.688705,"",0.1375,"",62839753875.58111
"2042single-use sheet (tray)","EU27+3",2042,"single-use sheet (tray)","PET","All",1109.762841332676,"",53947928702.18638,"",0.15,"",63468151414.33692
"2043single-use sheet (tray)","EU27+3",2043,"single-use sheet (tray)","PET","All",1104.377227543856,"",53686122577.60225,"",0.1625,"",64102832928.48029
"2044single-use sheet (tray)","EU27+3",2044,"single-use sheet (tray)","PET","All",1098.772925195126,"",53413685537.656204,"",0.175,"",64743861257.7651
"2045single-use sheet (tray)","EU27+3",2045,"single-use sheet (tray)","PET","All",1092.946099076667,"",53130431144.65349,"",0.1875,"",65391299870.34275
"2046single-use sheet (tray)","EU27+3",2046,"single-use sheet (tray)","PET","All",1086.8928591433194,"",52836170295.236946,"",0.2,"",66045212869.04618
