"PET bottles (beverage) placed on the market","","","","","","","","placed on the market",2022,"","shares","","PET converter demand","","","",""
2022,3110,"kt","","","","","","beverage bottles",3110,"kt",0.6226226226226226,"",2018,4700,"kt","",""
"","","","","","","","","other bottles",310,"kt",0.062062062062062065,"",2019,4900,"kt",0.0004955401387511937,""
"p. 51","","","","","","","","trays",1070,"kt",0.21421421421421422,"",2020,4700,"kt",0.0004952947003467045,""
"Share of reusable beverage bottles","","","","","","","","flexible",370,"kt",0.07407407407407407,"",2021,4900,"kt",0.0004950495049504955,""
2022,0.012,"","","","","","","other",135,"kt",0.02702702702702703,"","","","","",""
"Assumption: share based on weight put on the market","","","","","","","","TOTAL",4995,"",1,"","","","","",""
"","","","","","","","","","","","","","","","","",""
"p. 52","","","","","","","","","","","","","","","","",""
"Reusable targets for beverage bottles","","","","","","","","","","","","","","","","",""
2030,0.1,"","","","","","","","","","","","","","","",""
2040,0.25,"","","","","","","","","","","","","","","",""
"Assumption: share based on weight put on the market","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"p. 52","","","","","","","","","","","","","","","","",""
"Annual growth rate in beverage bottles placed on the market","","","","","","","","","","","","","","","","",""
"",0.01,0.02,"","","","","","","","","","","","","","",""
"Assumption: growth rate of weight placed on the market","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","Assumption ","","","","","","","","","","","","","",""
"[g]","single-use","reusable","ratio RU/SU","[kt]","single-use","reusable","","ratio trays LW/CW","","","","","","","","",""
"96ml Clear apet tray",3.6,9,2.5,"96ml Clear apet tray",3.6000000000000004e-09,9.000000000000001e-09,"","Assumption",0.85,"","","","","","","",""
"2126ml Clear dpet tray",37.542,93.855,2.5,"2126ml Clear dpet tray","","","","","","","","","","","","",""
"AVG",20.571,51.4275,2.5,"AVG",2.0571000000000003e-08,5.142750000000001e-08,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.petcore-europe.org/news-events/113-new-developments-recycling-pet-thermoforms.html","","","","","","","","","","","","","","","","",""
"https://www.plasticsrecyclers.eu/wp-content/uploads/2023/06/PET_REPORT2022_June2023.pdf","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"2017(?)","share","kt","","","","","","","","","","","","","","",""
"Mono-PET","30-50",400,"","","","","","","","","","","","","","",""
"Laminated PET","25-35",300,"","","","","","","","","","","","","","",""
"Barrier PET","25-35",300,"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"NON-BEVERAGE BOTTLES","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://product-catalogue.alpla.com/product/750-ml-spray-bottle-38-g","","","","","","","","","","","","","","","","",""
"https://product-catalogue.alpla.com/product/750-ml-tube-bottle-38-mm","","","","","","","","","","","","","","","","",""
"https://product-catalogue.alpla.com/product/750-ml-eco-line-bottle-28410","","","","","","","","WEIGHTLIGHTING","","","","","","","","",""
"","","","Assumption ","","","","","","","","","","","","","",""
"[g]","single-use","reusable","ratio RU/SU","[kt]","single-use","reusable","","ratio trays LW/CW","","","","","","","","",""
"750 ml Spray Bottle",37,92.5,2.5,"1L non-carbonated drink",3.7e-08,9.25e-08,"","Assumption",0.85,"","","","","","","",""
"with cap and label:","","","","with cap and label:","","","","","","","","","","","","",""
"",41.992771084337356,104.9819277108434,2.5,"",4.199277108433736e-08,1.049819277108434e-07,"","","","","","","","","","",""
