"total",3110.0000000000005,3188.371199361402,3267.048638163438,3346.0353788005136,3425.334514290979,3504.949168583369,3584.8824968657027,3665.1376858778776,3745.717954227195,3854.5528310777977,3963.7193213602186,4073.2207412087746,4183.060439919129,4293.241800279898,4403.768238907586,4514.643206584863,4625.8701886022245,4737.452705103071,4849.394311432237
"single-use",3025.645673458587,3019.411530154218,3013.483626290483,3007.865024261787,3002.558817086481,2997.5681287131,2992.8961143296624,2988.5459606760664,2984.520886359613,2959.2666892558073,2934.34410558382,2909.756451477968,2885.5070762339137,2861.5993626402746,2838.0367273135544,2814.8226210364232,2791.9605290993763,2769.453971645815,2747.306504020573
"reusable",84.35432654141307,168.95966920718425,253.5650118729554,338.1703545387266,422.77569720449776,507.381039870269,591.9863825360401,676.5917252018113,761.1970678675823,895.2861418219906,1029.3752157763988,1163.464289730807,1297.553363685215,1431.6424376396233,1565.7315115940316,1699.8205855484396,1833.9096595028477,1967.9987334572563,2102.087807411664
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"SORTING RATES","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Based on p. 20, 21, 25 avg sorted for recycling rates + targets from SUPD","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",2018,2020,2022,2025,2030,2040,2050,"","","","","","","","","","","",""
"beverage bottles",0.53,0.64,0.75,0.77,0.9,0.9,0.9,"","","","","","","","","","","",""
"other bottles",0.2961161290322583,0.3575741935483874,0.41903225806451644,0.4598502304147468,0.5278801843317975,0.6639400921658988,0.8,"","","","","","","","","","","",""
"trays",0.05,0.05,0.05,0.3,0.33999999999999997,0.42,0.5,"","","","","","","","","","","",""
"flexible",0,0,0,0,0,0,0,"","","","","","","","","","","",""
"other",0,0,0,0,0,0,0,"","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"RECYCLING LOSSES","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"Based on p. 22, 26","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
2022,"put on market","sorting rate","sorted to recycling","conversion rate","rPET","",2020,"conversion rate","","","","","","","","","","",""
"beverage bottles",3110,0.75,2332.5,0.73,1702.725,"","",0.7,"","","","","","","","","","",""
"other bottles",310,0.41903225806451644,129.9000000000001,0.6,77.94000000000005,"","","","","","","","","","","","","",""
"trays",1070,0.25,267.5,0.55,147.125,"","","","","","","","","","","","","",""
"flexible",370,0,0,0,0,"","","","","","","","","","","","","",""
"other",135,0,0,0,0,"","","","","","","","","","","","","",""
"","","","","",1927.79,"","","","","","","","","","","","","",""
"TOTAL",4995,"",2729.9,0.7063197026022305,1928.1821561338293,"","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"RECYCLATE SHARE","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"",2022,2025,2030,2040,2050,"","","","","","","","","","","","","",""
"beverage bottles",0.24,0.25,0.3,0.65,0.65,"","","","","","","","","","","","","",""
"other bottles",0.24,0.25,0.3,0.65,0.65,"","","","","","","","","","","","","",""
"trays",0.44,0.475,0.5333333333333333,0.65,0.65,"","","","","","","","","","","","","",""
"flexible",0,0,0,0,0,"","","","","","","","","","","","","",""
"other",0.8,0.8,0.8,0.8,0.8,"","","","","","","","","","","","","",""
